project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
wrapanapi,20260629_215151,61a479ea8c8c30b172c599f9f27c8aa3ef0b4191,1457022261,Added OpenStackInfra,True,original,0,0,0,0,0,1,0.251,0.1288,original,0.0,0.0,0.5850443840026855,0.0,0.5850443840026855,,,,,,,,,,,
wrapanapi,20260629_215151,61a479ea8c8c30b172c599f9f27c8aa3ef0b4191,1457022261,Added OpenStackInfra,True,pymop,0,0,0,0,0,1,0.152,0.1288,pymop,2.8548436164855957,0.5329563617706299,2.0110995769500732,0.0,5.398899555206299,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6,
wrapanapi,20260629_215151,61a479ea8c8c30b172c599f9f27c8aa3ef0b4191,1457022261,Added OpenStackInfra,True,pymop_libs,0,0,0,0,0,1,2.571,0.1288,pymop_libs,8.945324420928955,0.512382984161377,6.907846212387085,0.0,16.365553617477417,0.0,,0.0,,,,1205.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=803<>UnsafeDictIterator=351<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,586278.0,BuiltinAllAnalysis=violation=95969<>ComparisonBehaviorAnalysis=ne_end=348<>ComparisonBehaviorAnalysis=eq_end=1207<>InPlaceSortAnalysis=list_used=2728<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1543<>NonFinitesAnalysis=non_finite_op=95859<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=721<>StringStripAnalysis=strip=53<>WrongTypeAddedAnalysis=check_append=95770<>WrongTypeAddedAnalysis=check_insert=95770<>WrongTypeAddedAnalysis=check_extend=95770<>WrongTypeAddedAnalysis=check_add=95770<>WrongTypeAddedAnalysis=check_add_assign=721<>UnsafeListIterator=createList=1604<>UnsafeDictIterator=createDict=359<>UnsafeDictIterator=updateDict=2033<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
wrapanapi,20260629_215151,61a479ea8c8c30b172c599f9f27c8aa3ef0b4191,1457022261,Added OpenStackInfra,True,dylin,0,0,0,0,0,1,3.907,0.1288,dylin,13.944575548171995,0.0,5.180937767028809,0.3156819343566894,19.441195249557495,0.0,,0.0,,,,,,,,
wrapanapi,20260629_215151,c89a3be0dccb55777bc60da810440ed02152ad17,1458560334,Fixed arg to make it compatible,True,original,0,0,0,0,0,1,0.25,0.1286,original,0.0,0.0,0.6020312309265137,0.0,0.6020312309265137,,,,,,,,,,,
wrapanapi,20260629_215151,c89a3be0dccb55777bc60da810440ed02152ad17,1458560334,Fixed arg to make it compatible,True,pymop,0,0,0,0,0,1,0.155,0.1286,pymop,2.708163022994995,0.6081089973449707,1.8642675876617432,0.0,5.180539608001709,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6,
wrapanapi,20260629_215151,c89a3be0dccb55777bc60da810440ed02152ad17,1458560334,Fixed arg to make it compatible,True,pymop_libs,0,0,0,0,0,1,2.557,0.1286,pymop_libs,9.00959300994873,0.5040390491485596,6.9223480224609375,0.0,16.435980081558228,0.0,,0.0,,,,1210.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=810<>UnsafeDictIterator=349<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,580600.0,BuiltinAllAnalysis=violation=95080<>ComparisonBehaviorAnalysis=ne_end=347<>ComparisonBehaviorAnalysis=eq_end=1173<>InPlaceSortAnalysis=list_used=2576<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1508<>NonFinitesAnalysis=non_finite_op=94970<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=720<>StringStripAnalysis=strip=53<>WrongTypeAddedAnalysis=check_append=94857<>WrongTypeAddedAnalysis=check_insert=94857<>WrongTypeAddedAnalysis=check_extend=94857<>WrongTypeAddedAnalysis=check_add=94857<>WrongTypeAddedAnalysis=check_add_assign=720<>UnsafeListIterator=createList=1585<>UnsafeDictIterator=createDict=357<>UnsafeDictIterator=updateDict=2030<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
wrapanapi,20260629_215151,c89a3be0dccb55777bc60da810440ed02152ad17,1458560334,Fixed arg to make it compatible,True,dylin,0,0,0,0,0,1,3.846,0.1286,dylin,11.851370096206663,0.0,5.1440629959106445,0.3096580505371094,17.30509114265442,0.0,,0.0,,,,,,,,
wrapanapi,20260629_215151,cdc057d7fef5e70907281512da0cc5937428d001,1458769017,Fix scvmm template deploy.,True,original,0,0,0,0,0,1,0.248,0.1286,original,0.0,0.0,0.5609846115112305,0.0,0.5609846115112305,,,,,,,,,,,
wrapanapi,20260629_215151,cdc057d7fef5e70907281512da0cc5937428d001,1458769017,Fix scvmm template deploy.,True,pymop,0,0,0,0,0,1,0.151,0.1286,pymop,2.7164230346679688,0.5956885814666748,1.8833019733428955,0.0,5.195413589477539,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6,
