project,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url_old,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,new_violations_happening_place,new_violations_triggering_place,new_violations_reasons,new_violations_comment,num_old_violations,old_violations,old_violations_happening_place,old_violations_triggering_place,old_violations_reasons,old_violations_comment,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,same_old_new_test_results,new_original,new_pymop,new_pymop_libs,new_dylin,old_original,old_pymop,old_pymop_libs,old_dylin
towncrier,cb696b2237e0840b171eb872ce7f5608295f9b80,a25aa8f97379d0723d6899ab35a37c526dd90532,1755250775,[pre-commit.ci] auto fixes from pre-commit.com hooks,https://github.com/twisted/towncrier/compare/a25aa8f97379d0723d6899ab35a37c526dd90532...cb696b2237e0840b171eb872ce7f5608295f9b80,https://github.com/twisted/towncrier/compare/a25aa8f97379d0723d6899ab35a37c526dd90532...cb696b2237e0840b171eb872ce7f5608295f9b80,0,85.09,0,,,,,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/zope/interface/ro.py:465,Others,Others,Flaky Spec,The checker or spec we used is not deterministic,1,FileClosedAnalysis:/src/towncrier/test/test_build.py:1657=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/zope/interface/ro.py:465=1;FileClosedAnalysis:/src/towncrier/test/test_build.py:1657=1,,True,139-20-4-0-0,139-20-4-0-0,139-20-4-0-0,139-20-4-0-0,139-20-4-0-0,139-20-4-0-0,139-20-4-0-0,139-20-4-0-0
trustme,c3e3749c27309703ca00533414fda5345f45174b,0cf75f7ef12bf36354c61ff7652b6ce125691921,1758990956,GitHub Actions: Add Python 3.14 and PyPy 3.11 (#687),https://github.com/python-trio/trustme/compare/0cf75f7ef12bf36354c61ff7652b6ce125691921...c3e3749c27309703ca00533414fda5345f45174b,https://github.com/python-trio/trustme/compare/0cf75f7ef12bf36354c61ff7652b6ce125691921...c3e3749c27309703ca00533414fda5345f45174b,1,95.48,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/cryptography/x509/extensions.py:1560,Dependency code,Dependency code,Dependency version changed,https://github.com/python-trio/trustme/compare/0cf75f7ef12bf36354c61ff7652b6ce125691921...c3e3749c27309703ca00533414fda5345f45174b#diff-a54eb6cc245408c0405e588268b24672cb1d00f5ef2b3f305ac789e8c90df1beR17 cryptography library version changed.,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/cryptography/x509/extensions.py:1504,Dependency code,Dependency code,Dependency version changed,https://github.com/python-trio/trustme/compare/0cf75f7ef12bf36354c61ff7652b6ce125691921...c3e3749c27309703ca00533414fda5345f45174b#diff-a54eb6cc245408c0405e588268b24672cb1d00f5ef2b3f305ac789e8c90df1beR17 cryptography library version changed.,6,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:313=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:304=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/cryptography/x509/extensions.py:1560=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:318=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:299=1,6,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:313=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:304=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/cryptography/x509/extensions.py:1504=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:329=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:318=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_trustme.py:299=1,,True,28-0-0-0-0,28-0-0-0-0,28-0-0-0-0,28-0-0-0-0,28-0-0-0-0,28-0-0-0-0,28-0-0-0-0,28-0-0-0-0
python-georss-client,b27a8f9f5b70ad19c7cb1667e9c56052bb0a5510,736cd90e93b178fbd50a370879ccdfd0b9f7729f,1623143819,Add license tag (#27),https://github.com/exxamalte/python-georss-client/compare/736cd90e93b178fbd50a370879ccdfd0b9f7729f...b27a8f9f5b70ad19c7cb1667e9c56052bb0a5510,https://github.com/exxamalte/python-georss-client/compare/736cd90e93b178fbd50a370879ccdfd0b9f7729f...b27a8f9f5b70ad19c7cb1667e9c56052bb0a5510,1,97.12,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3927,Others,Others,Flaky Spec,The checker or spec we used is not deterministic,0,,,,,,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494=1;RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3927=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;InvalidComparisonAnalysis:/tests/test_init.py:281=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494=1;RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;InvalidComparisonAnalysis:/tests/test_init.py:281=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,,True,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0
python-georss-client,5701fbafe45968cff09d80b0ad6cdae6b678cfda,dda501c6ca262410148b538cc5ef2330d9233a55,1706649618,Bump xmltodict to 0.13.0 (#46),https://github.com/exxamalte/python-georss-client/compare/dda501c6ca262410148b538cc5ef2330d9233a55...5701fbafe45968cff09d80b0ad6cdae6b678cfda,https://github.com/exxamalte/python-georss-client/compare/dda501c6ca262410148b538cc5ef2330d9233a55...5701fbafe45968cff09d80b0ad6cdae6b678cfda,1,96.17,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3927,Others,Others,Flaky Spec,The checker or spec we used is not deterministic,0,,,,,,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494=1;RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3927=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;InvalidComparisonAnalysis:/tests/test_init.py:316=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494=1;RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;InvalidComparisonAnalysis:/tests/test_init.py:316=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,,True,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0
python-georss-client,4c94ecc9f502923c977593a2f940e0fa21c50ce8,5701fbafe45968cff09d80b0ad6cdae6b678cfda,1706649750,Bump haversine to 2.8.1 (#47),https://github.com/exxamalte/python-georss-client/compare/5701fbafe45968cff09d80b0ad6cdae6b678cfda...4c94ecc9f502923c977593a2f940e0fa21c50ce8,https://github.com/exxamalte/python-georss-client/compare/5701fbafe45968cff09d80b0ad6cdae6b678cfda...4c94ecc9f502923c977593a2f940e0fa21c50ce8,1,96.17,0,,,,,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3927,Others,Others,Flaky Spec,The checker or spec we used is not deterministic,9,RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;InvalidComparisonAnalysis:/tests/test_init.py:316=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494=1;RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3927=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;InvalidComparisonAnalysis:/tests/test_init.py:316=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,,True,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0
python-georss-client,e480349c25d0522344126fcca2d8a1e465d7f592,4c94ecc9f502923c977593a2f940e0fa21c50ce8,1706683754,Bump dateparser to 1.2.0 (#48),https://github.com/exxamalte/python-georss-client/compare/4c94ecc9f502923c977593a2f940e0fa21c50ce8...e480349c25d0522344126fcca2d8a1e465d7f592,https://github.com/exxamalte/python-georss-client/compare/4c94ecc9f502923c977593a2f940e0fa21c50ce8...e480349c25d0522344126fcca2d8a1e465d7f592,1,96.17,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494,Others,Others,Flaky Spec,The checker or spec we used is not deterministic,0,,,,,,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:494=1;RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;InvalidComparisonAnalysis:/tests/test_init.py:316=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,9,RandomMustUseSeed:/lib/python3.12/site-packages/regex/_regex_core.py:334=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:476=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:3522=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2482=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:483=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:2246=1;InvalidComparisonAnalysis:/tests/test_init.py:316=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:523=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/regex/_regex_core.py:588=1,,True,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0,27-1-0-0-0
bazoola,1e50bec67d8bc3269b1b778a01733b22e6ae4747,5ab07ff7e04731842e8984d164aa90afdb8107d0,1755374712,Add missing lockfile cleanup in TableStorage.close(),https://github.com/ddoroshev/bazoola/compare/5ab07ff7e04731842e8984d164aa90afdb8107d0...1e50bec67d8bc3269b1b778a01733b22e6ae4747,https://github.com/ddoroshev/bazoola/compare/5ab07ff7e04731842e8984d164aa90afdb8107d0...1e50bec67d8bc3269b1b778a01733b22e6ae4747,1,96.37,0,,,,,,1,FileClosedAnalysis:/bazoola/storage.py:36,Project code,Project code,Fix the violation,The developer fixed the violation by closing the file,1,FileClosedAnalysis:/bazoola/storage.py:27=1,2,FileClosedAnalysis:/bazoola/storage.py:27=1;FileClosedAnalysis:/bazoola/storage.py:36=1,FileClosedAnalysis:/bazoola/storage.py:27<=FileClosedAnalysis:/bazoola/storage.py:27,True,77-0-0-0-0,77-0-0-0-0,77-0-0-0-0,77-0-0-0-0,77-0-0-0-0,77-0-0-0-0,77-0-0-0-0,77-0-0-0-0
pySigma,ed22aa6cb6c7e6ac1e7fcc18157e20b47b4c02f3,7a26bb9720c5cc430bf985f7195436742962d37a,1769259265,optimize SigmaString accumulation,https://github.com/SigmaHQ/pySigma/compare/7a26bb9720c5cc430bf985f7195436742962d37a...ed22aa6cb6c7e6ac1e7fcc18157e20b47b4c02f3,https://github.com/SigmaHQ/pySigma/compare/7a26bb9720c5cc430bf985f7195436742962d37a...ed22aa6cb6c7e6ac1e7fcc18157e20b47b4c02f3,1,97.25,1,BuiltinAllAnalysis:/sigma/types.py:217,Others,Others,Hard to Inspect,no all() on the reported lines,2,StringConcatAnalysis:/sigma/types.py:216;StringConcatAnalysis:/sigma/types.py:169,Project code,Project code,Project code changed (accidental fixes),The developer change the str to a list and using append() instead which fix the violation,14,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:540=1;InvalidComparisonAnalysis:/sigma/types.py:217=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:581=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:557=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;BuiltinAllAnalysis:/sigma/types.py:217=1;FileClosedAnalysis:/sigma/processing/resolver.py:65=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:606=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/filters.py:217=1;RandomMustUseSeed:/sigma/processing/transformations/condition.py:29=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:341=1,15,StringConcatAnalysis:/sigma/types.py:216=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:540=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:581=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:557=1;StringConcatAnalysis:/sigma/types.py:169=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;FileClosedAnalysis:/sigma/processing/resolver.py:65=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:606=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/sigma/filters.py:217=1;InvalidComparisonAnalysis:/sigma/types.py:216=1;RandomMustUseSeed:/sigma/processing/transformations/condition.py:29=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:341=1,InvalidComparisonAnalysis:/sigma/types.py:217<=InvalidComparisonAnalysis:/sigma/types.py:216,True,1286-0-1-0-0,1286-0-1-0-0,1286-0-1-0-0,1213-73-1-0-0,1286-0-1-0-0,1286-0-1-0-0,1286-0-1-0-0,1213-73-1-0-0
pySigma,7d3c1729b37323018aad9aa78eec39671b886d93,1d1713163f48a2641d68495a160074ecc439a6fc,1765578649,Update rules serialization to ensure list format for non-string types,https://github.com/SigmaHQ/pySigma/compare/1d1713163f48a2641d68495a160074ecc439a6fc...7d3c1729b37323018aad9aa78eec39671b886d93,https://github.com/SigmaHQ/pySigma/compare/1d1713163f48a2641d68495a160074ecc439a6fc...7d3c1729b37323018aad9aa78eec39671b886d93,1,97.24,0,,,,,,1,BuiltinAllAnalysis:/sigma/filters.py:196,Project code,Project code,Project code changed (accidental fixes),The developer change from checkin all element in the list to whether the list is empty,15,StringConcatAnalysis:/sigma/types.py:216=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:540=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:581=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:557=1;StringConcatAnalysis:/sigma/types.py:169=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:209=1;FileClosedAnalysis:/sigma/processing/resolver.py:65=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:606=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InvalidComparisonAnalysis:/sigma/types.py:216=1;RandomMustUseSeed:/sigma/processing/transformations/condition.py:29=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:341=1,16,StringConcatAnalysis:/sigma/types.py:216=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:540=1;BuiltinAllAnalysis:/sigma/filters.py:196=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:581=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:557=1;StringConcatAnalysis:/sigma/types.py:169=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;RandomMustUseSeed:/sigma/filters.py:209=1;FileClosedAnalysis:/sigma/processing/resolver.py:65=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:606=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InvalidComparisonAnalysis:/sigma/types.py:216=1;RandomMustUseSeed:/sigma/processing/transformations/condition.py:29=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:469=1;BuiltinAllAnalysis:/sigma/processing/pipeline.py:341=1,RandomMustUseSeed:/sigma/filters.py:209<=RandomMustUseSeed:/sigma/filters.py:209,True,1281-0-1-0-0,1281-0-1-0-0,1281-0-1-0-0,1209-72-1-0-0,1281-0-1-0-0,1281-0-1-0-0,1281-0-1-0-0,1209-72-1-0-0
OpenDoor,4fd42bf8e3cb0569ca2e92cbf7d01399c98d8798,3d9071dde67ddb89dda345dc805633c4e74cd801,1776614216,fix: make Windows CI UTF-8 safe and add Windows install docs,https://github.com/stanislav-web/OpenDoor/compare/3d9071dde67ddb89dda345dc805633c4e74cd801...4fd42bf8e3cb0569ca2e92cbf7d01399c98d8798,https://github.com/stanislav-web/OpenDoor/compare/3d9071dde67ddb89dda345dc805633c4e74cd801...4fd42bf8e3cb0569ca2e92cbf7d01399c98d8798,1,65.55,2,Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:261;Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:283,Others,Others,Filter limitation,The code line which reports the violation is being changed,2,Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:269;Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:250,Others,Others,Filter limitations,The code line which reports the violation is being changed,11,InvalidComparisonAnalysis:/lib/python3.12/site-packages/tabulate/__init__.py:128=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/tabulate/__init__.py:2727=1;ChangeListWhileIterating:/tests/test_lib_tpl.py:38=1;Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:261=1;Pydocs_MustShutdownBeforeCloseSocket:/src/core/http/socks.py:48=1;ChangeListWhileIterating:/tests/test_lib_reporter.py:78=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:283=1;ChangeListWhileIterating:/tests/test_lib_browser_debug.py:61=1;Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:133=1;ChangeListWhileIterating:/tests/test_lib_browser_threadpool.py:56=1,11,Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:269=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/tabulate/__init__.py:128=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/tabulate/__init__.py:2727=1;ChangeListWhileIterating:/tests/test_lib_tpl.py:38=1;Pydocs_MustShutdownBeforeCloseSocket:/src/core/http/socks.py:48=1;ChangeListWhileIterating:/tests/test_lib_reporter.py:78=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;ChangeListWhileIterating:/tests/test_lib_browser_debug.py:61=1;Pydocs_NoReadAfterAccess:/src/core/filesystem/filesystem.py:250=1;Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:133=1;ChangeListWhileIterating:/tests/test_lib_browser_threadpool.py:56=1,,True,91-0-0-0-0,91-0-0-0-0,91-0-0-0-0,85-6-0-0-0,91-0-0-0-0,91-0-0-0-0,91-0-0-0-0,85-6-0-0-0
