project_name,project_url,spec,path,line,violation_count,inspect_result,inspect_priority,inspect_reason
thewriterben-Accelerapp,https://github.com/thewriterben/Accelerapp,InvalidComparisonAnalysis,/src/accelerapp/core/container/container.py,259,1,True Positive,Low,Use is rather than == or =! to compare two types
thewriterben-Accelerapp,https://github.com/thewriterben/Accelerapp,RandomMustUseSeed,/src/accelerapp/core/exceptions/retry.py,87,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
shakayami-ACL-for-python,https://github.com/shakayami/ACL-for-python,InvalidComparisonAnalysis,/fps.py,244,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
shakayami-ACL-for-python,https://github.com/shakayami/ACL-for-python,InvalidComparisonAnalysis,/fps.py,353,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
shakayami-ACL-for-python,https://github.com/shakayami/ACL-for-python,RandomMustUseSeed,/tests/test_fps.py,65,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
shakayami-ACL-for-python,https://github.com/shakayami/ACL-for-python,RandomMustUseSeed,/tests/test_fps.py,75,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
shakayami-ACL-for-python,https://github.com/shakayami/ACL-for-python,RandomMustUseSeed,/tests/test_fps.py,85,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
shakayami-ACL-for-python,https://github.com/shakayami/ACL-for-python,RandomMustUseSeed,/tests/test_fps.py,86,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_client.py,166,1,False Alarm,Not Started,"The violation is intentional by the developer. The code does call it in the cleanup path, but with try except to handle situations where the connection was already reset or closed unexpectedly"
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_client.py,471,1,Not Useful,Not Started,"The test only assert if the client closes correctly. It does not close writer correctly, but would not affect the test in any ways"
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_client.py,503,1,False Alarm,Not Started,The violation is intentional by the developer. The test wants to simulate an abrupt connection loss while a request is happening:
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_client.py,728,1,False Alarm,Not Started,The violation is intentional by the developer. The test wants to simulate an connection suddenly disappears
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_client.py,691,1,True Positive,Low,It should close the writer correctly using wait_closed()
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_connection.py,154,1,Not Useful,Not Started,"The important object being tested is conn, and they already wait for it. It does not close writer correctly, but would not affect the test in any ways"
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_connection.py,198,1,False Alarm,Not Started,The violation is intentional by the developer. It wants to test this failure case: remote end disconnects while server is replying
