project,sha,stars,commit_count,age_years,notes
thewriterben-Accelerapp,f96a4d8bfd38bfb523ae220c6c274c0336b39b5c,1,187,0.7,
shakayami-ACL-for-python,112d653b88b68584a106ad0582e06bfc90c59e5f,59,107,5.7,
ska-sa-aiokatcp,3e76a708ef06e82036b79387ece57b54da4162a9,1,693,8.8,
akfamily-akshare,fcdbf25aa864a218c54864c3f6ab6a2ed19cce28,20837,838,6.7,
KuudoAI-amazon_ads_mcp,61b3f6585d86394e52d55f68862e963a942daf00,56,299,0.8,
erikbern-ann-benchmarks,61ac3f467ae349e2a22786996f8796695948f46b,5693,1585,11.1,
ApeWorX-ape-fantom,d520fb01b0736650f43895d22bec1d302aa4b917,4,33,4.4,
docToolchain-asciidoc-linter,52e7fa5982d980eefd5b548f68ff6f58767fe772,15,62,1.6,
omarkamali-babelvec,8a12caf1e22806acf29c9737175ed1d8321900b5,0,11,0.5,
ddoroshev-bazoola,97a9ea7c731b5d2e1a95d0a6ca97da48d2044cd4,1,41,1.0,
brentley-birthdays-to-slack,5f43e5ec3ab59ecf661513bc7c2e7c8f4fb12f44,1,51,2.6,
python-discord-bot-core,7cfbb506dfecaffaab6fc7e51298c932ef2320d2,19,508,4.9,
Bynder-bynder-python-sdk,29408aeb802c211973061ca4d434792d8d537294,10,104,8.8,
carbonblack-carbon-black-cloud-sdk-python,99ea0d730422cd52cca5103913a2f114e96a3870,44,2281,6.0,
noahmaier17-Card-Venture-Game-Recruiter-Demo,b9e7f635d4b2c7e7df34d24026bfc4462ea9b0b0,0,302,0.7,
openstack-charm-cinder-backup,bdd525b0d873489f978da63a02c251bf31f27dd6,14,138,10.3,
imnuman-cloud-orchestrator,8df251d026f58c609cf36e7dddd48f61f3f932ba,1,11,0.4,
juspay-code-as-data,fe4683c28a928e13921bb1dbf792ab6d4bbf0c55,1,37,1.3,
apimatic-core-lib-python,c1548a20b36d8cbdc3702825c8b45c462f4b23f3,0,173,3.9,
nansencenter-DAPPER,61a1a8e8f9c0f67dca95e404670e35b0b60aeb23,410,1819,10.0,
NewFuture-DDNS,030c5cb32b611453fd07f422b83d723bb01fb67d,4683,662,10.1,
