timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220412,ea76717717761f9fb0583b6b131e2201d56a90f5,,1749734896,Add CI/CD infrastructure for automated testing and deployment,,,15.39,0,,0,,0,,0,,,
20260629_220412,4e4eb45ab641f96131fb28e236c830c1bcaaad26,ea76717717761f9fb0583b6b131e2201d56a90f5,1749735125,Fix GitHub Actions workflow failures,https://github.com/shakayami/ACL-for-python/compare/ea76717717761f9fb0583b6b131e2201d56a90f5...4e4eb45ab641f96131fb28e236c830c1bcaaad26,3.0,15.76,0,,0,,0,,0,,,8.0
20260629_220412,8de0d0e3050cbdc8bb4ccd8e28e1d0e49a7381d4,4e4eb45ab641f96131fb28e236c830c1bcaaad26,1749735341,Fix GitHub Actions failures by applying code formatting,https://github.com/shakayami/ACL-for-python/compare/4e4eb45ab641f96131fb28e236c830c1bcaaad26...8de0d0e3050cbdc8bb4ccd8e28e1d0e49a7381d4,13.0,15.18,0,,0,,0,,0,,,2925.0
20260629_220412,603de2ebf7e6fe81934ebc25fdd6154150602b78,8de0d0e3050cbdc8bb4ccd8e28e1d0e49a7381d4,1751978015,テストファイル追加,https://github.com/shakayami/ACL-for-python/compare/8de0d0e3050cbdc8bb4ccd8e28e1d0e49a7381d4...603de2ebf7e6fe81934ebc25fdd6154150602b78,13.0,20.54,0,,0,,0,,0,,,273.0
20260629_220412,04d12694ca27a9efb92c043a2b23959e3e426b2b,603de2ebf7e6fe81934ebc25fdd6154150602b78,1751980043,テスト一部追加,https://github.com/shakayami/ACL-for-python/compare/603de2ebf7e6fe81934ebc25fdd6154150602b78...04d12694ca27a9efb92c043a2b23959e3e426b2b,6.0,32.21,0,,0,,0,,0,,,227.0
20260629_220412,f53ac2efc58ec22e47f767143f50dfa59b4d5701,04d12694ca27a9efb92c043a2b23959e3e426b2b,1751983383,テスト拡充,https://github.com/shakayami/ACL-for-python/compare/04d12694ca27a9efb92c043a2b23959e3e426b2b...f53ac2efc58ec22e47f767143f50dfa59b4d5701,13.0,69.0,1,RandomMustUseSeed:/prime_fact.py:16,0,,1,RandomMustUseSeed:/prime_fact.py:16=1,0,,,1242.0
20260629_220412,1eb13c43dc69bf884914a4fdb7f0f05f49e0e9a7,f53ac2efc58ec22e47f767143f50dfa59b4d5701,1752242326,FPS系単体テスト追加,https://github.com/shakayami/ACL-for-python/compare/f53ac2efc58ec22e47f767143f50dfa59b4d5701...1eb13c43dc69bf884914a4fdb7f0f05f49e0e9a7,2.0,83.98,5,InvalidComparisonAnalysis:/fps.py:244;RandomMustUseSeed:/tests/test_fps.py:56;InvalidComparisonAnalysis:/fps.py:353;RandomMustUseSeed:/tests/test_fps.py:76;RandomMustUseSeed:/tests/test_fps.py:66,0,,6,InvalidComparisonAnalysis:/fps.py:244=1;RandomMustUseSeed:/tests/test_fps.py:56=1;InvalidComparisonAnalysis:/fps.py:353=1;RandomMustUseSeed:/tests/test_fps.py:76=1;RandomMustUseSeed:/tests/test_fps.py:66=1;RandomMustUseSeed:/prime_fact.py:16=1,1,RandomMustUseSeed:/prime_fact.py:16=1,,190.0
20260629_220412,ffe83f5e6672b12eff3a4a735f2f2a95d64f02c6,1eb13c43dc69bf884914a4fdb7f0f05f49e0e9a7,1752242478,format,https://github.com/shakayami/ACL-for-python/compare/1eb13c43dc69bf884914a4fdb7f0f05f49e0e9a7...ffe83f5e6672b12eff3a4a735f2f2a95d64f02c6,2.0,83.98,4,RandomMustUseSeed:/tests/test_fps.py:65;RandomMustUseSeed:/tests/test_fps.py:86;RandomMustUseSeed:/tests/test_fps.py:75;RandomMustUseSeed:/tests/test_fps.py:85,3,RandomMustUseSeed:/tests/test_fps.py:56;RandomMustUseSeed:/tests/test_fps.py:76;RandomMustUseSeed:/tests/test_fps.py:66,7,InvalidComparisonAnalysis:/fps.py:244=1;RandomMustUseSeed:/tests/test_fps.py:65=1;InvalidComparisonAnalysis:/fps.py:353=1;RandomMustUseSeed:/tests/test_fps.py:86=1;RandomMustUseSeed:/tests/test_fps.py:75=1;RandomMustUseSeed:/prime_fact.py:16=1;RandomMustUseSeed:/tests/test_fps.py:85=1,6,InvalidComparisonAnalysis:/fps.py:244=1;RandomMustUseSeed:/tests/test_fps.py:56=1;InvalidComparisonAnalysis:/fps.py:353=1;RandomMustUseSeed:/tests/test_fps.py:76=1;RandomMustUseSeed:/tests/test_fps.py:66=1;RandomMustUseSeed:/prime_fact.py:16=1,InvalidComparisonAnalysis:/fps.py:244<=InvalidComparisonAnalysis:/fps.py:244;InvalidComparisonAnalysis:/fps.py:353<=InvalidComparisonAnalysis:/fps.py:353,140.0
20260629_220412,f5c6e13238b4877c4f79054d62fb171cdac95792,ffe83f5e6672b12eff3a4a735f2f2a95d64f02c6,1755867059,Update prime_fact.py,https://github.com/shakayami/ACL-for-python/compare/ffe83f5e6672b12eff3a4a735f2f2a95d64f02c6...f5c6e13238b4877c4f79054d62fb171cdac95792,1.0,83.35000000000001,0,,1,RandomMustUseSeed:/prime_fact.py:16,6,InvalidComparisonAnalysis:/fps.py:244=1;RandomMustUseSeed:/tests/test_fps.py:65=1;InvalidComparisonAnalysis:/fps.py:353=1;RandomMustUseSeed:/tests/test_fps.py:86=1;RandomMustUseSeed:/tests/test_fps.py:75=1;RandomMustUseSeed:/tests/test_fps.py:85=1,7,InvalidComparisonAnalysis:/fps.py:244=1;RandomMustUseSeed:/tests/test_fps.py:65=1;InvalidComparisonAnalysis:/fps.py:353=1;RandomMustUseSeed:/tests/test_fps.py:86=1;RandomMustUseSeed:/tests/test_fps.py:75=1;RandomMustUseSeed:/prime_fact.py:16=1;RandomMustUseSeed:/tests/test_fps.py:85=1,,42.0
20260629_220412,a8eb91c25d7a57231787fcf776c0b44820a0b21f,f5c6e13238b4877c4f79054d62fb171cdac95792,1755868183,Update test_prime_fact.py,https://github.com/shakayami/ACL-for-python/compare/f5c6e13238b4877c4f79054d62fb171cdac95792...a8eb91c25d7a57231787fcf776c0b44820a0b21f,1.0,83.91,0,,0,,6,InvalidComparisonAnalysis:/fps.py:244=1;RandomMustUseSeed:/tests/test_fps.py:65=1;InvalidComparisonAnalysis:/fps.py:353=1;RandomMustUseSeed:/tests/test_fps.py:86=1;RandomMustUseSeed:/tests/test_fps.py:75=1;RandomMustUseSeed:/tests/test_fps.py:85=1,6,InvalidComparisonAnalysis:/fps.py:244=1;RandomMustUseSeed:/tests/test_fps.py:65=1;InvalidComparisonAnalysis:/fps.py:353=1;RandomMustUseSeed:/tests/test_fps.py:86=1;RandomMustUseSeed:/tests/test_fps.py:75=1;RandomMustUseSeed:/tests/test_fps.py:85=1,,10.0
