timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220404,f1a764d3c2e2c6aade66f85162964e6ce9248fee,,1751368091,refact(provider): 巨大重构 (#484),,,63.33,0,,0,,0,,0,,,
20260629_220404,0653b687507587f90f91cbcefed1debafd5f6193,f1a764d3c2e2c6aade66f85162964e6ce9248fee,1751387377,Fix(cache): loading bug and improve cache status logging (#495),https://github.com/NewFuture/DDNS/compare/f1a764d3c2e2c6aade66f85162964e6ce9248fee...0653b687507587f90f91cbcefed1debafd5f6193,3.0,70.19,1,FileClosedAnalysis:/ddns/util/cache.py:66,0,,1,FileClosedAnalysis:/ddns/util/cache.py:66=1,0,,,590.0
20260629_220404,b3a5ff9817c7a3b141fd8425cc55ce027aa9a17a,0653b687507587f90f91cbcefed1debafd5f6193,1751396236,Refactor(base): HMAC-SHA256 signature logic (#496),https://github.com/NewFuture/DDNS/compare/0653b687507587f90f91cbcefed1debafd5f6193...b3a5ff9817c7a3b141fd8425cc55ce027aa9a17a,12.0,69.27,1,RandomMustUseSeed:/tests/test_provider_callback.py:296,1,FileClosedAnalysis:/ddns/util/cache.py:66,1,RandomMustUseSeed:/tests/test_provider_callback.py:296=1,1,FileClosedAnalysis:/ddns/util/cache.py:66=1,,953.0
20260629_220404,43fe2792c607f276f15cf6b15083f3581f33aa1b,b3a5ff9817c7a3b141fd8425cc55ce027aa9a17a,1751455471,[feature] Add SSL certificate validation configuration support (#499),https://github.com/NewFuture/DDNS/compare/b3a5ff9817c7a3b141fd8425cc55ce027aa9a17a...43fe2792c607f276f15cf6b15083f3581f33aa1b,3.0,75.12,0,,0,,1,RandomMustUseSeed:/tests/test_provider_callback.py:296=1,1,RandomMustUseSeed:/tests/test_provider_callback.py:296=1,,201.0
20260629_220404,33a0c295c10d5d45e6196465e3638189cf32441f,43fe2792c607f276f15cf6b15083f3581f33aa1b,1751459881,fix(cache): Implement per-record caching to fix partial failure issue (#500),https://github.com/NewFuture/DDNS/compare/43fe2792c607f276f15cf6b15083f3581f33aa1b...33a0c295c10d5d45e6196465e3638189cf32441f,1.0,75.06,0,,0,,1,RandomMustUseSeed:/tests/test_provider_callback.py:296=1,1,RandomMustUseSeed:/tests/test_provider_callback.py:296=1,,24.0
20260629_220404,1e351642d58fc8bed29060a48666984e9316f4b7,33a0c295c10d5d45e6196465e3638189cf32441f,1751468216,feat(config:line): 支持自定义线路参数 (#501),https://github.com/NewFuture/DDNS/compare/33a0c295c10d5d45e6196465e3638189cf32441f...1e351642d58fc8bed29060a48666984e9316f4b7,6.0,75.02,1,FileClosedAnalysis:/ddns/util/cache.py:66,0,,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:296=1,1,RandomMustUseSeed:/tests/test_provider_callback.py:296=1,,173.0
20260629_220404,3d155b671e089971b2c5123c031702f6fdb7ac82,1e351642d58fc8bed29060a48666984e9316f4b7,1751541243,"Refact(tests): improve base ,test,  and instructions (#503)",https://github.com/NewFuture/DDNS/compare/1e351642d58fc8bed29060a48666984e9316f4b7...3d155b671e089971b2c5123c031702f6fdb7ac82,7.0,74.98,1,RandomMustUseSeed:/tests/test_provider_callback.py:325,1,RandomMustUseSeed:/tests/test_provider_callback.py:296,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:325=1,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:296=1,,209.0
20260629_220404,492e4fbf91f8f027476c4d8369f980449185dbde,3d155b671e089971b2c5123c031702f6fdb7ac82,1751652043,Add No-IP (noip.com) Dynamic DNS Provider Support (#505),https://github.com/NewFuture/DDNS/compare/3d155b671e089971b2c5123c031702f6fdb7ac82...492e4fbf91f8f027476c4d8369f980449185dbde,3.0,75.78,0,,1,FileClosedAnalysis:/ddns/util/cache.py:66,1,RandomMustUseSeed:/tests/test_provider_callback.py:325=1,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:325=1,,522.0
20260629_220404,78b0e953daf0739020719f8b44043b9cdae5c550,492e4fbf91f8f027476c4d8369f980449185dbde,1752057203,feat(AliESA) 阿里云边缘安全加速 DNS provider support (#498),https://github.com/NewFuture/DDNS/compare/492e4fbf91f8f027476c4d8369f980449185dbde...78b0e953daf0739020719f8b44043b9cdae5c550,30.0,73.49,1,FileClosedAnalysis:/ddns/util/cache.py:66,0,,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:325=1,1,RandomMustUseSeed:/tests/test_provider_callback.py:325=1,,1222.0
20260629_220404,fd631c7d59ba7950bf97e6d575aa28d059028270,78b0e953daf0739020719f8b44043b9cdae5c550,1752079740,feat: current time as remark for aliesa (#509),https://github.com/NewFuture/DDNS/compare/78b0e953daf0739020719f8b44043b9cdae5c550...fd631c7d59ba7950bf97e6d575aa28d059028270,1.0,73.50999999999999,0,,0,,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:325=1,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:325=1,,3.0
20260629_220404,485e6a3e26c5aab9c6c9a7287efd24e00c9ee159,fd631c7d59ba7950bf97e6d575aa28d059028270,1752289465,Refact(config): 统一配置 (#506),https://github.com/NewFuture/DDNS/compare/fd631c7d59ba7950bf97e6d575aa28d059028270...485e6a3e26c5aab9c6c9a7287efd24e00c9ee159,46.0,81.88,0,,1,FileClosedAnalysis:/ddns/util/cache.py:66,1,RandomMustUseSeed:/tests/test_provider_callback.py:325=1,2,FileClosedAnalysis:/ddns/util/cache.py:66=1;RandomMustUseSeed:/tests/test_provider_callback.py:325=1,RandomMustUseSeed:/tests/test_provider_callback.py:325<=RandomMustUseSeed:/tests/test_provider_callback.py:325,5104.0
20260629_220404,3bb6241c5b3588f8b88dc67f227d3b3b6d75b2bc,485e6a3e26c5aab9c6c9a7287efd24e00c9ee159,1752307875,refact(cache): Convert cache storage from pickle to JSON format (#512),https://github.com/NewFuture/DDNS/compare/485e6a3e26c5aab9c6c9a7287efd24e00c9ee159...3bb6241c5b3588f8b88dc67f227d3b3b6d75b2bc,2.0,82.95,0,,0,,1,RandomMustUseSeed:/tests/test_provider_callback.py:325=1,1,RandomMustUseSeed:/tests/test_provider_callback.py:325=1,,212.0
