timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220050,f40051e900c439dbc430e34c2c78437aa691c427,,1644273968,[feature]: adding rest api examples,,,85.71,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364=1,0,,,
20260629_220050,a86c21a1e72413611b21597ccab58c404d3a9272,f40051e900c439dbc430e34c2c78437aa691c427,1644273995,[style]: unifying formatting,https://github.com/djeada/Flask-Minimal/compare/f40051e900c439dbc430e34c2c78437aa691c427...a86c21a1e72413611b21597ccab58c404d3a9272,8.0,85.71,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364=1,,118.0
20260629_220050,619211dc56c270fecc984cdcd45754f4d324e689,a86c21a1e72413611b21597ccab58c404d3a9272,1644340053,[style]: correcting stylistic mistakes with flake8,https://github.com/djeada/Flask-Minimal/compare/a86c21a1e72413611b21597ccab58c404d3a9272...619211dc56c270fecc984cdcd45754f4d324e689,5.0,85.42,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364=1,,56.0
20260629_220050,2607e825469eb05b0c5fcd8364a1838649bec90d,619211dc56c270fecc984cdcd45754f4d324e689,1678380291,[feature]: create a more complete library managment system,https://github.com/djeada/Flask-Minimal/compare/619211dc56c270fecc984cdcd45754f4d324e689...2607e825469eb05b0c5fcd8364a1838649bec90d,31.0,94.29,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:364=1,,1007.0
20260629_220050,970e98c7d8dbdbf5086bd942f294fbb95ef57d2e,2607e825469eb05b0c5fcd8364a1838649bec90d,1678380517,[refactor]: apply isort,https://github.com/djeada/Flask-Minimal/compare/2607e825469eb05b0c5fcd8364a1838649bec90d...970e98c7d8dbdbf5086bd942f294fbb95ef57d2e,5.0,94.29,0,,0,,0,,0,,,18.0
20260629_220050,0ab5f748b9c8616534dabfc74b836e7f43e7d4fe,970e98c7d8dbdbf5086bd942f294fbb95ef57d2e,1678392714,[refactor]: applying pylint sugestions,https://github.com/djeada/Flask-Minimal/compare/970e98c7d8dbdbf5086bd942f294fbb95ef57d2e...0ab5f748b9c8616534dabfc74b836e7f43e7d4fe,6.0,94.29,0,,0,,0,,0,,,96.0
20260629_220050,d14bc2d1bdee044e93b258f7811660359a806752,0ab5f748b9c8616534dabfc74b836e7f43e7d4fe,1678396135,[docs]: updating documentation,https://github.com/djeada/Flask-Minimal/compare/0ab5f748b9c8616534dabfc74b836e7f43e7d4fe...d14bc2d1bdee044e93b258f7811660359a806752,2.0,94.29,0,,0,,0,,0,,,10.0
20260629_220050,dd6ac7fc8e41bd3fc698fe46f7747af2394c2317,d14bc2d1bdee044e93b258f7811660359a806752,1752182441,"Modernize Flask-Minimal: Phase 1 foundation complete (factory, SQLAlchemy, JWT, Docker, docs)",https://github.com/djeada/Flask-Minimal/compare/d14bc2d1bdee044e93b258f7811660359a806752...dd6ac7fc8e41bd3fc698fe46f7747af2394c2317,16.0,33.06,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,0,,,1563.0
20260629_220050,9593593e96b5c7cd2cfb345ddf1facb852d95fa9,dd6ac7fc8e41bd3fc698fe46f7747af2394c2317,1752183189,style: auto-format codebase with Black for CI compliance,https://github.com/djeada/Flask-Minimal/compare/dd6ac7fc8e41bd3fc698fe46f7747af2394c2317...9593593e96b5c7cd2cfb345ddf1facb852d95fa9,20.0,33.06,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,,1167.0
20260629_220050,df3bace19a3e11176964e2de4df0da9e28353b4d,9593593e96b5c7cd2cfb345ddf1facb852d95fa9,1752183348,style: auto-sort imports with isort for CI compliance,https://github.com/djeada/Flask-Minimal/compare/9593593e96b5c7cd2cfb345ddf1facb852d95fa9...df3bace19a3e11176964e2de4df0da9e28353b4d,19.0,33.019999999999996,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,,84.0
