timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220444,c74afb6ce73e1615f646f493eeab00c502fb40fe,,1762198749,Initial commit: Complete SecureMCP boilerplate,,,56.120000000000005,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,0,,,
20260629_220444,015d7b692ffa82860bfd75aa07951f38047a19f7,c74afb6ce73e1615f646f493eeab00c502fb40fe,1762199723,Add comprehensive async/await support to SecureMCP,https://github.com/KeshavVarad/NextMCP/compare/c74afb6ce73e1615f646f493eeab00c502fb40fe...015d7b692ffa82860bfd75aa07951f38047a19f7,5.0,68.47,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,896.0
20260629_220444,756c6ff433cb53e6b2324d38b2124521be0704c5,015d7b692ffa82860bfd75aa07951f38047a19f7,1762200371,Add WebSocket transport support to SecureMCP,https://github.com/KeshavVarad/NextMCP/compare/015d7b692ffa82860bfd75aa07951f38047a19f7...756c6ff433cb53e6b2324d38b2124521be0704c5,7.0,73.3,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,1357.0
20260629_220444,82fee412b79d69ca5e5b20792c6dadeb055d945f,756c6ff433cb53e6b2324d38b2124521be0704c5,1762200637,Refactor: Rename SecureMCP to NextMCP,https://github.com/KeshavVarad/NextMCP/compare/756c6ff433cb53e6b2324d38b2124521be0704c5...82fee412b79d69ca5e5b20792c6dadeb055d945f,21.0,73.3,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,256.0
20260629_220444,e6f4fe179f4d01150471231d68164826a8893d97,82fee412b79d69ca5e5b20792c6dadeb055d945f,1762201468,Add comprehensive plugin system to NextMCP,https://github.com/KeshavVarad/NextMCP/compare/82fee412b79d69ca5e5b20792c6dadeb055d945f...e6f4fe179f4d01150471231d68164826a8893d97,8.0,77.3,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,1188.0
20260629_220444,5183f1640e93689689d7ffaa50d4b5c2da71b046,e6f4fe179f4d01150471231d68164826a8893d97,1762202465,Add comprehensive metrics and monitoring system,https://github.com/KeshavVarad/NextMCP/compare/e6f4fe179f4d01150471231d68164826a8893d97...5183f1640e93689689d7ffaa50d4b5c2da71b046,13.0,82.83,3,InvalidComparisonAnalysis:/nextmcp/metrics/registry.py:45;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:111,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/registry.py:45=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:111=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,2204.0
20260629_220444,929d9ef3c865a5e684b9bd5c9518bda0d10461a9,5183f1640e93689689d7ffaa50d4b5c2da71b046,1762202823,Fix: Strengthen metrics tests and fix collector registry bug,https://github.com/KeshavVarad/NextMCP/compare/5183f1640e93689689d7ffaa50d4b5c2da71b046...929d9ef3c865a5e684b9bd5c9518bda0d10461a9,2.0,82.86,0,,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/registry.py:45=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:111=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/registry.py:45=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:111=1,,53.0
20260629_220444,46a697d91ba727474fb4d7360be7ed443860d71e,929d9ef3c865a5e684b9bd5c9518bda0d10461a9,1762212311,Fix linting and formatting issues,https://github.com/KeshavVarad/NextMCP/compare/929d9ef3c865a5e684b9bd5c9518bda0d10461a9...46a697d91ba727474fb4d7360be7ed443860d71e,19.0,82.83,1,InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110,2,InvalidComparisonAnalysis:/nextmcp/metrics/registry.py:45;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:111,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/registry.py:45=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:111=1,InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109<=InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109,407.0
20260629_220444,00676e78ae9d3b623a469ec42031dd765db86fdd,46a697d91ba727474fb4d7360be7ed443860d71e,1762212552,Fix all remaining exception chaining and abstract method issues,https://github.com/KeshavVarad/NextMCP/compare/46a697d91ba727474fb4d7360be7ed443860d71e...00676e78ae9d3b623a469ec42031dd765db86fdd,6.0,82.83,0,,0,,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110=1,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110=1,,30.0
20260629_220444,58d23b728e8dbe56918b1ed9db9e32d5c7c0f805,00676e78ae9d3b623a469ec42031dd765db86fdd,1762212874,Modernize type annotations for Python 3.10+,https://github.com/KeshavVarad/NextMCP/compare/00676e78ae9d3b623a469ec42031dd765db86fdd...58d23b728e8dbe56918b1ed9db9e32d5c7c0f805,16.0,82.84,0,,0,,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:108=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110=1,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109=1;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110=1,InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:108<=InvalidComparisonAnalysis:/nextmcp/metrics/exporters/prometheus.py:109;InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110<=InvalidComparisonAnalysis:/nextmcp/metrics/exporters/json_exporter.py:110,215.0
