timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215644,69b02ee735b3cbedfd0c306d550a28feb897dfcc,,1734582833,fix (style): pep8 method name,,,3.935000000000001,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22,0,,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,0,,,
20260629_215644,5ce72a1fb88fcf0bbf18cc0463767fc7032075bc,69b02ee735b3cbedfd0c306d550a28feb897dfcc,1734582953,fix (style): black,https://github.com/Byaidu/PDFMathTranslate.git/compare/69b02ee735b3cbedfd0c306d550a28feb897dfcc...5ce72a1fb88fcf0bbf18cc0463767fc7032075bc,1.0,3.935000000000001,0,,0,,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,26.0
20260629_215644,259234391fb5e9c4b1ba8b3a99dcef5863295d55,5ce72a1fb88fcf0bbf18cc0463767fc7032075bc,1734587599,chore (gui): add comments to all methods,https://github.com/Byaidu/PDFMathTranslate.git/compare/5ce72a1fb88fcf0bbf18cc0463767fc7032075bc...259234391fb5e9c4b1ba8b3a99dcef5863295d55,1.0,3.915,0,,0,,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,158.0
20260629_215645,448eae51a0fdb4c0057c73d20c08abc5ff956fef,259234391fb5e9c4b1ba8b3a99dcef5863295d55,1734589125,feat (gui) : 调整PDF预览大小,https://github.com/Byaidu/PDFMathTranslate.git/compare/259234391fb5e9c4b1ba8b3a99dcef5863295d55...448eae51a0fdb4c0057c73d20c08abc5ff956fef,1.0,3.915,0,,0,,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,6.0
20260629_215645,6b293ab38e9d4c67b82a7fbb4837fa4e80416012,448eae51a0fdb4c0057c73d20c08abc5ff956fef,1734590479,feat (cli): add support for non-pdf/a document,https://github.com/Byaidu/PDFMathTranslate.git/compare/448eae51a0fdb4c0057c73d20c08abc5ff956fef...6b293ab38e9d4c67b82a7fbb4837fa4e80416012,3.0,3.866,0,,0,,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,111.0
20260629_215645,502de5d647022b9c8cef825f94d1ac548bacd682,6b293ab38e9d4c67b82a7fbb4837fa4e80416012,1734590661,feat (cli): add support for non-pdf/a document; style fixed,https://github.com/Byaidu/PDFMathTranslate.git/compare/6b293ab38e9d4c67b82a7fbb4837fa4e80416012...502de5d647022b9c8cef825f94d1ac548bacd682,1.0,3.868,0,,0,,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,3.0
20260629_215645,40ac9f945a7459699a1a6b6fac5d5fb0820acaf9,502de5d647022b9c8cef825f94d1ac548bacd682,1734676732,Add unittest for cache,https://github.com/Byaidu/PDFMathTranslate.git/compare/502de5d647022b9c8cef825f94d1ac548bacd682...40ac9f945a7459699a1a6b6fac5d5fb0820acaf9,2.0,7.449999999999999,1,FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43,0,,8,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,113.0
20260629_215645,b1c0f917618c1b23916f054e9ddb09e2fa025e3a,40ac9f945a7459699a1a6b6fac5d5fb0820acaf9,1734678909,Fix format,https://github.com/Byaidu/PDFMathTranslate.git/compare/40ac9f945a7459699a1a6b6fac5d5fb0820acaf9...b1c0f917618c1b23916f054e9ddb09e2fa025e3a,1.0,7.394,0,,0,,8,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,8,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,13.0
20260629_215645,7377cef859b999f696a824872a190e2e4d2c4051,b1c0f917618c1b23916f054e9ddb09e2fa025e3a,1734685175,feat (translator): enhance chat response handling with retries and streaming,https://github.com/Byaidu/PDFMathTranslate.git/compare/b1c0f917618c1b23916f054e9ddb09e2fa025e3a...7377cef859b999f696a824872a190e2e4d2c4051,2.0,3.82,0,,1,FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,8,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,142.0
20260629_215645,76924345955c87ac6ed0e0912efba4c8ba99b37e,7377cef859b999f696a824872a190e2e4d2c4051,1734707143,fix: ollama reraise,https://github.com/Byaidu/PDFMathTranslate.git/compare/7377cef859b999f696a824872a190e2e4d2c4051...76924345955c87ac6ed0e0912efba4c8ba99b37e,2.0,7.353999999999999,1,FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43,0,,8,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;FileClosedAnalysis:/lib/python3.12/site-packages/pdf2zh/cache.py:43=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1,,154.0
