timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220544,2b6b1c8fb1709b6cbb4af7c9f7145c7d9face357,,1718328051,working tests,,,16.46,0,,0,,0,,0,,,
20260629_220544,a6f42c9988a46f4e1a48e950e37d7c19127ed00f,2b6b1c8fb1709b6cbb4af7c9f7145c7d9face357,1718329975,Test precommit,https://github.com/brickbots/PiFinder.git/compare/2b6b1c8fb1709b6cbb4af7c9f7145c7d9face357...a6f42c9988a46f4e1a48e950e37d7c19127ed00f,1.0,16.46,0,,0,,0,,0,,,1.0
20260629_220544,4f3295926593fe4ba78f2b6c4a4135013490763d,a6f42c9988a46f4e1a48e950e37d7c19127ed00f,1718331310,Non working pre-commit,https://github.com/brickbots/PiFinder.git/compare/a6f42c9988a46f4e1a48e950e37d7c19127ed00f...4f3295926593fe4ba78f2b6c4a4135013490763d,1.0,16.46,0,,0,,0,,0,,,1.0
20260629_220544,96f2c18064d8f8288843313e96255ae9e95605ed,4f3295926593fe4ba78f2b6c4a4135013490763d,1718331579,Working pre-commit,https://github.com/brickbots/PiFinder.git/compare/4f3295926593fe4ba78f2b6c4a4135013490763d...96f2c18064d8f8288843313e96255ae9e95605ed,1.0,16.46,0,,0,,0,,0,,,8.0
20260629_220545,ba8a7f49185414110c52c1e47b2006e076c38be8,96f2c18064d8f8288843313e96255ae9e95605ed,1718375353,Object list sorting working,https://github.com/brickbots/PiFinder.git/compare/96f2c18064d8f8288843313e96255ae9e95605ed...ba8a7f49185414110c52c1e47b2006e076c38be8,2.0,16.46,0,,0,,0,,0,,,182.0
20260629_220545,f5d6195a5e514580da347da4758b6b88eb605628,ba8a7f49185414110c52c1e47b2006e076c38be8,1718678534,"Make ObjectList more flexible, implement catalog lists",https://github.com/brickbots/PiFinder.git/compare/ba8a7f49185414110c52c1e47b2006e076c38be8...f5d6195a5e514580da347da4758b6b88eb605628,4.0,16.46,0,,0,,0,,0,,,211.0
20260629_220545,5f78fcdd47b327b89e7c92a012c0c7c71c296e21,f5d6195a5e514580da347da4758b6b88eb605628,1718681261,Add object type filterin,https://github.com/brickbots/PiFinder.git/compare/f5d6195a5e514580da347da4758b6b88eb605628...5f78fcdd47b327b89e7c92a012c0c7c71c296e21,1.0,16.46,0,,0,,0,,0,,,40.0
20260629_220545,12c18c61a8db4c7e9b652a59e36fa5441436dd22,5f78fcdd47b327b89e7c92a012c0c7c71c296e21,1718832368,Filtering working,https://github.com/brickbots/PiFinder.git/compare/5f78fcdd47b327b89e7c92a012c0c7c71c296e21...12c18c61a8db4c7e9b652a59e36fa5441436dd22,7.0,16.46,0,,0,,0,,0,,,278.0
20260629_220545,52b77213e8e2f3e9ecc76f6d330c49d000c8d6e2,12c18c61a8db4c7e9b652a59e36fa5441436dd22,1718833376,"Integrate ARP into menu, alphabetize DSO list",https://github.com/brickbots/PiFinder.git/compare/12c18c61a8db4c7e9b652a59e36fa5441436dd22...52b77213e8e2f3e9ecc76f6d330c49d000c8d6e2,5.0,16.46,0,,0,,0,,0,,,298.0
20260629_220545,f9a407c9a5b25b3ed763454e8a57e0963be3009b,52b77213e8e2f3e9ecc76f6d330c49d000c8d6e2,1718837438,Load previous filter state on start-up,https://github.com/brickbots/PiFinder.git/compare/52b77213e8e2f3e9ecc76f6d330c49d000c8d6e2...f9a407c9a5b25b3ed763454e8a57e0963be3009b,3.0,16.46,0,,0,,0,,0,,,39.0
