timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_214954,182c2c72cf3f4bf5633c80b4f408d6499aef282e,,1709159083,Fix a few small process bugs,,,96.66,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846,0,,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,0,,,
20260629_214954,d0001b48b29d42a6db456a3ba02accd294b16483,182c2c72cf3f4bf5633c80b4f408d6499aef282e,1709159449,Fix flake8,https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/182c2c72cf3f4bf5633c80b4f408d6499aef282e...d0001b48b29d42a6db456a3ba02accd294b16483,3.0,96.66,0,,0,,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,FileClosedAnalysis:/src/cbc_sdk/base.py:90<=FileClosedAnalysis:/src/cbc_sdk/base.py:90,8.0
20260629_214954,5c28003bb49386521f6c96020b283c0519a48b67,d0001b48b29d42a6db456a3ba02accd294b16483,1709832398,added autodetect of wait status based on job type,https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/d0001b48b29d42a6db456a3ba02accd294b16483...5c28003bb49386521f6c96020b283c0519a48b67,4.0,96.65,0,,0,,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,,136.0
20260629_214954,238baf15880bd7829411a4f1e11eb4fe5a52b2a0,5c28003bb49386521f6c96020b283c0519a48b67,1709845375,deflake8'd,https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/5c28003bb49386521f6c96020b283c0519a48b67...238baf15880bd7829411a4f1e11eb4fe5a52b2a0,2.0,96.65,0,,0,,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,,4.0
20260629_214954,33394ae1cccc95937b53559f1ee52e6c100d92b2,238baf15880bd7829411a4f1e11eb4fe5a52b2a0,1709920351,added initial encoding detection implementation,https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/238baf15880bd7829411a4f1e11eb4fe5a52b2a0...33394ae1cccc95937b53559f1ee52e6c100d92b2,1.0,96.63,0,,0,,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,,32.0
20260629_214954,f19372179c42a1e9e876b2282afb7773d9f80e77,33394ae1cccc95937b53559f1ee52e6c100d92b2,1709935165,"added test code - only partial solution, reading UTF-16 files still fails",https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/33394ae1cccc95937b53559f1ee52e6c100d92b2...f19372179c42a1e9e876b2282afb7773d9f80e77,2.0,96.66,0,,0,,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,,13.0
20260629_214954,4e9a50c81a443aa8c58e966b1ea71b3d9f2c9b16,f19372179c42a1e9e876b2282afb7773d9f80e77,1709936198,got a working solution,https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/f19372179c42a1e9e876b2282afb7773d9f80e77...4e9a50c81a443aa8c58e966b1ea71b3d9f2c9b16,2.0,96.65,1,HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:101,0,,12,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:101=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,11,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,,22.0
20260629_214954,ce5ece854403368600a0f3b132edf911f8f4f9e3,4e9a50c81a443aa8c58e966b1ea71b3d9f2c9b16,1711041679,added link to process fields from Process docstring,https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/4e9a50c81a443aa8c58e966b1ea71b3d9f2c9b16...ce5ece854403368600a0f3b132edf911f8f4f9e3,1.0,96.67,1,HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:121,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:101;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571,5,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:121=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,12,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:101=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mox/mox.py:364=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,,4.0
20260629_214954,6ba238c9cc16468c6108b3f8792f808c1b3ed53a,ce5ece854403368600a0f3b132edf911f8f4f9e3,1711044694,deflake8'd,https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/ce5ece854403368600a0f3b132edf911f8f4f9e3...6ba238c9cc16468c6108b3f8792f808c1b3ed53a,1.0,96.67,0,,1,HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:121,4,RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,5,FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;HostnamesTerminatesWithSlash:/src/tests/unit/fixtures/CBCSDKMock.py:121=1;RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,,3.0
20260629_214954,3bdf8c16ebb08b23b8c3ff1d5262e86825edf2b8,6ba238c9cc16468c6108b3f8792f808c1b3ed53a,1712699255,"normalized the arguments to _perform_query, and fixed up IterableQueryMixin to do the right thing unsurprisingly",https://github.com/carbonblack/carbon-black-cloud-sdk-python/compare/6ba238c9cc16468c6108b3f8792f808c1b3ed53a...3bdf8c16ebb08b23b8c3ff1d5262e86825edf2b8,8.0,96.55,0,,0,,4,RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,4,RandomMustUseSeed:/src/tests/unit/platform/test_policies.py:329=1;FileClosedAnalysis:/src/cbc_sdk/base.py:90=1;HostnamesTerminatesWithSlash:/src/cbc_sdk/connection.py:233=1;RandomMustUseSeed:/src/cbc_sdk/live_response_api.py:846=1,FileClosedAnalysis:/src/cbc_sdk/base.py:90<=FileClosedAnalysis:/src/cbc_sdk/base.py:90,150.0
