timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215728,ceec040cdebe305158ab5b4d0de5326c21aff95a,,1737054489,Add MLflow tracing for langchain and openai implementations of VectorSearchRetrieverTool (#43),,,8.071,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349,0,,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,0,,,
20260629_215728,b6dddc8beaa7a409eead9718fd936ac85b28c2fd,ceec040cdebe305158ab5b4d0de5326c21aff95a,1737069388,Simplify OpenAI VectorSearchRetrieverTool tool execution function (#44),https://github.com/databricks/databricks-ai-bridge.git/compare/ceec040cdebe305158ab5b4d0de5326c21aff95a...b6dddc8beaa7a409eead9718fd936ac85b28c2fd,2.0,8.043,1,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359,0,,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,286.0
20260629_215728,4f1192c4a586a60322e05edc97f5996e91563948,b6dddc8beaa7a409eead9718fd936ac85b28c2fd,1738189495,Changing the default of vectorSearchRetrieverTool docs to be 5 instead of 10 (#50),https://github.com/databricks/databricks-ai-bridge.git/compare/b6dddc8beaa7a409eead9718fd936ac85b28c2fd...4f1192c4a586a60322e05edc97f5996e91563948,1.0,8.043,0,,1,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,2.0
20260629_215728,eac006fcd1a0dba5af8f7b5aa5515e77e6742649,4f1192c4a586a60322e05edc97f5996e91563948,1738356184,Adding sphinx docs to databricks-ai-bridge (#53),https://github.com/databricks/databricks-ai-bridge.git/compare/4f1192c4a586a60322e05edc97f5996e91563948...eac006fcd1a0dba5af8f7b5aa5515e77e6742649,5.0,8.043,1,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359,0,,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,525.0
20260629_215728,fe37fb6c084824c7a206a7f4c4da6cffe01cf727,eac006fcd1a0dba5af8f7b5aa5515e77e6742649,1738356196,Adding resources to the vectorSearchTool (#51),https://github.com/databricks/databricks-ai-bridge.git/compare/eac006fcd1a0dba5af8f7b5aa5515e77e6742649...fe37fb6c084824c7a206a7f4c4da6cffe01cf727,7.0,7.603,0,,0,,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,169.0
20260629_215728,414788e4691109973c3330feb630f3e4c88f9b3f,fe37fb6c084824c7a206a7f4c4da6cffe01cf727,1738356866,Adding missing imports for error (#55),https://github.com/databricks/databricks-ai-bridge.git/compare/fe37fb6c084824c7a206a7f4c4da6cffe01cf727...414788e4691109973c3330feb630f3e4c88f9b3f,1.0,7.603,0,,0,,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,3.0
20260629_215728,411b9047fa4ee4f98c007a94c571e71949315bca,414788e4691109973c3330feb630f3e4c88f9b3f,1738367403,Alias UCFunctionToolkit (#54),https://github.com/databricks/databricks-ai-bridge.git/compare/414788e4691109973c3330feb630f3e4c88f9b3f...411b9047fa4ee4f98c007a94c571e71949315bca,2.0,7.603,0,,0,,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,20.0
20260629_215728,f0dcdd550a53faeefd7c67f5a747f6d3eb94ac80,411b9047fa4ee4f98c007a94c571e71949315bca,1738622962,Fixing the description to not look for source_table comment for default description of vector_search_tool (#56),https://github.com/databricks/databricks-ai-bridge.git/compare/411b9047fa4ee4f98c007a94c571e71949315bca...f0dcdd550a53faeefd7c67f5a747f6d3eb94ac80,3.0,7.64,0,,0,,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,44.0
20260629_215728,4249bea55aeac7b3ee20c9b6644cd518c61b3486,f0dcdd550a53faeefd7c67f5a747f6d3eb94ac80,1738793084,Deleting external tools since its now supported in databricks-sdk (#59),https://github.com/databricks/databricks-ai-bridge.git/compare/f0dcdd550a53faeefd7c67f5a747f6d3eb94ac80...4249bea55aeac7b3ee20c9b6644cd518c61b3486,2.0,7.884,0,,0,,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,144.0
20260629_215728,3945a9cbe8b8fa62396d70d72563ec03ee97b8b6,4249bea55aeac7b3ee20c9b6644cd518c61b3486,1738867053,Updating ChatDatabricks to take in model as well as endpoint (#58),https://github.com/databricks/databricks-ai-bridge.git/compare/4249bea55aeac7b3ee20c9b6644cd518c61b3486...3945a9cbe8b8fa62396d70d72563ec03ee97b8b6,4.0,7.799,0,,1,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359,3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mlflow/environment_variables.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1,,101.0
