timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220038,9cf740cbd5546ee3329d4b1de8ac7893df478ae2,,1694240899,Create DPArray class (#3),,,93.28,7,InvalidComparisonAnalysis:/dp/_dp_array.py:63;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:131;InvalidComparisonAnalysis:/dp/_dp_array.py:65;ComparisonBehaviorAnalysis:/dp/_dp_array.py:65;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63;InvalidComparisonAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61,0,,7,InvalidComparisonAnalysis:/dp/_dp_array.py:63=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:131=1;InvalidComparisonAnalysis:/dp/_dp_array.py:65=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:65=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1,0,,,
20260629_220038,33d4fda40faa3248a0474347eccab0cb27f57b70,9cf740cbd5546ee3329d4b1de8ac7893df478ae2,1694285415,removed int support (#6),https://github.com/itsdawei/dpvis/compare/9cf740cbd5546ee3329d4b1de8ac7893df478ae2...33d4fda40faa3248a0474347eccab0cb27f57b70,2.0,93.08,0,,3,InvalidComparisonAnalysis:/dp/_dp_array.py:63;InvalidComparisonAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61,4,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62=1;InvalidComparisonAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:129=1,7,InvalidComparisonAnalysis:/dp/_dp_array.py:63=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:131=1;InvalidComparisonAnalysis:/dp/_dp_array.py:65=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:65=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:63;InvalidComparisonAnalysis:/dp/_dp_array.py:60<=InvalidComparisonAnalysis:/dp/_dp_array.py:65;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:65;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:129<=ComparisonBehaviorAnalysis:/tests/dp_array_test.py:131,20.0
20260629_220038,05cad8494afc693cc51ea7141ca8c2ccc6ffe96b,33d4fda40faa3248a0474347eccab0cb27f57b70,1694382695,Logger class init (#4),https://github.com/itsdawei/dpvis/compare/33d4fda40faa3248a0474347eccab0cb27f57b70...05cad8494afc693cc51ea7141ca8c2ccc6ffe96b,6.0,96.89,1,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151,1,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:129,4,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60=1,4,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62=1;InvalidComparisonAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:129=1,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:62;InvalidComparisonAnalysis:/dp/_dp_array.py:60<=InvalidComparisonAnalysis:/dp/_dp_array.py:60;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:60,443.0
20260629_220038,3d4b160e15a5dd97b27f58595e5340f6ae76c9f5,05cad8494afc693cc51ea7141ca8c2ccc6ffe96b,1694727936,Documentation with mkdocs (#7),https://github.com/itsdawei/dpvis/compare/05cad8494afc693cc51ea7141ca8c2ccc6ffe96b...3d4b160e15a5dd97b27f58595e5340f6ae76c9f5,3.0,96.89,0,,0,,4,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60=1,4,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60=1,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:62;InvalidComparisonAnalysis:/dp/_dp_array.py:60<=InvalidComparisonAnalysis:/dp/_dp_array.py:60;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:60,33.0
20260629_220038,d60f625538e99c78e4a0326b1da960c68d64478a,3d4b160e15a5dd97b27f58595e5340f6ae76c9f5,1694890520,Logger value field (#10),https://github.com/itsdawei/dpvis/compare/3d4b160e15a5dd97b27f58595e5340f6ae76c9f5...d60f625538e99c78e4a0326b1da960c68d64478a,5.0,96.14,0,,0,,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,4,ComparisonBehaviorAnalysis:/dp/_dp_array.py:62=1;ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:60=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:60=1,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151<=ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151;InvalidComparisonAnalysis:/dp/_dp_array.py:61<=InvalidComparisonAnalysis:/dp/_dp_array.py:60;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:60;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:62,369.0
20260629_220038,96268428977233c819c14524b928353d07c11bcc,d60f625538e99c78e4a0326b1da960c68d64478a,1695166060,Logger timestep packing (#11),https://github.com/itsdawei/dpvis/compare/d60f625538e99c78e4a0326b1da960c68d64478a...96268428977233c819c14524b928353d07c11bcc,6.0,97.27,0,,0,,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151<=ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151;InvalidComparisonAnalysis:/dp/_dp_array.py:61<=InvalidComparisonAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:63,369.0
20260629_220038,02bd9137e4e96e9fc67230c1a565cda7bc6ed87f,96268428977233c819c14524b928353d07c11bcc,1695488858,Dp array min max (#12),https://github.com/itsdawei/dpvis/compare/96268428977233c819c14524b928353d07c11bcc...02bd9137e4e96e9fc67230c1a565cda7bc6ed87f,3.0,96.77,0,,0,,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151<=ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151;InvalidComparisonAnalysis:/dp/_dp_array.py:61<=InvalidComparisonAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:63,347.0
20260629_220038,1edd93fda7bef37d9fc6d1434f146b171866865b,02bd9137e4e96e9fc67230c1a565cda7bc6ed87f,1697915918,Documentation Enhancement & Demostration Bug Fix (#21),https://github.com/itsdawei/dpvis/compare/02bd9137e4e96e9fc67230c1a565cda7bc6ed87f...1edd93fda7bef37d9fc6d1434f146b171866865b,12.0,90.74,0,,0,,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151<=ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151;InvalidComparisonAnalysis:/dp/_dp_array.py:61<=InvalidComparisonAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:61;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63<=ComparisonBehaviorAnalysis:/dp/_dp_array.py:63,1323.0
20260629_220038,cd78cd123897683fd6a0b6767f1a8d5d76be584c,1edd93fda7bef37d9fc6d1434f146b171866865b,1698097796,Dash branch (#20),https://github.com/itsdawei/dpvis/compare/1edd93fda7bef37d9fc6d1434f146b171866865b...cd78cd123897683fd6a0b6767f1a8d5d76be584c,3.0,85.06,0,,0,,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,,233.0
20260629_220038,404a6f372529397da59152cd83c62e4126336427,cd78cd123897683fd6a0b6767f1a8d5d76be584c,1698529999,Display dependencies on click (#25),https://github.com/itsdawei/dpvis/compare/cd78cd123897683fd6a0b6767f1a8d5d76be584c...404a6f372529397da59152cd83c62e4126336427,1.0,82.91,0,,0,,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,4,ComparisonBehaviorAnalysis:/tests/dp_array_test.py:151=1;InvalidComparisonAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:61=1;ComparisonBehaviorAnalysis:/dp/_dp_array.py:63=1,,124.0
