timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220223,732c135f83cb85afe037a12c806610540acdf89e,,1761256741,Initial project scaffold for EchoTrace,,,48.34,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,0,,,
20260629_220223,5dbd29bef9a732332cf471f5c6e62d5b604aea6c,732c135f83cb85afe037a12c806610540acdf89e,1761259736,"Add config, logging, and MQTT topic utilities for hub and nodes",https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/732c135f83cb85afe037a12c806610540acdf89e...5dbd29bef9a732332cf471f5c6e62d5b604aea6c,8.0,48.120000000000005,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,445.0
20260629_220223,f82ae735eab6e6edca9b0090a33ebd764decbac6,5dbd29bef9a732332cf471f5c6e62d5b604aea6c,1761260642,Implement narrative state and enhance content management,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/5dbd29bef9a732332cf471f5c6e62d5b604aea6c...f82ae735eab6e6edca9b0090a33ebd764decbac6,6.0,62.08,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,604.0
20260629_220223,6fa1808d76bf1bdbeb7aa8ea5e58305fd6d1f73c,f82ae735eab6e6edca9b0090a33ebd764decbac6,1761262598,Implement dashboard UI and API for accessibility and content,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/f82ae735eab6e6edca9b0090a33ebd764decbac6...6fa1808d76bf1bdbeb7aa8ea5e58305fd6d1f73c,4.0,61.59,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,414.0
20260629_220223,2bcb9a77c80e5bd389a01760981e4e25751cc241,6fa1808d76bf1bdbeb7aa8ea5e58305fd6d1f73c,1761266364,Enhance node service with full runtime and test coverage,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/6fa1808d76bf1bdbeb7aa8ea5e58305fd6d1f73c...2bcb9a77c80e5bd389a01760981e4e25751cc241,4.0,67.03,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,,860.0
20260629_220223,d9a709f313d8edc9a0ca89df0e7f62dbae058315,2bcb9a77c80e5bd389a01760981e4e25751cc241,1761272070,Add per-node accessibility overrides and config push,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/2bcb9a77c80e5bd389a01760981e4e25751cc241...d9a709f313d8edc9a0ca89df0e7f62dbae058315,3.0,69.46,5,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101,0,,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,,282.0
20260629_220223,9e508c821fd86c84bda0284fb7b6f774fe3828a2,d9a709f313d8edc9a0ca89df0e7f62dbae058315,1761307829,Add analytics summary API and dashboard metrics,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/d9a709f313d8edc9a0ca89df0e7f62dbae058315...9e508c821fd86c84bda0284fb7b6f774fe3828a2,4.0,69.0,0,,0,,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101=1,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101=1,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:113;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:102;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:101,121.0
20260629_220223,7ddf541be15698f0befd10c0fdcd6a141c19432c,9e508c821fd86c84bda0284fb7b6f774fe3828a2,1761312079,"Add hub launcher, docs, and analytics test",https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/9e508c821fd86c84bda0284fb7b6f774fe3828a2...7ddf541be15698f0befd10c0fdcd6a141c19432c,2.0,71.94,0,,0,,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101=1,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101=1,,133.0
20260629_220223,2975bf243b2032696eba06b2dd3ce389b705b156,7ddf541be15698f0befd10c0fdcd6a141c19432c,1761312835,Refactor type hints and formatting for Python 3.10+,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/7ddf541be15698f0befd10c0fdcd6a141c19432c...2975bf243b2032696eba06b2dd3ce389b705b156,9.0,72.0,0,,0,,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:112=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:111=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:123=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:113=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:102=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:101=1,Flask_NoModifyAfterServe:/hub/dashboard_app.py:112<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:102;Flask_NoModifyAfterServe:/hub/dashboard_app.py:111<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:101;Flask_NoModifyAfterServe:/hub/dashboard_app.py:123<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:113,166.0
20260629_220223,388289af921bf775419c951406a1441cd10b8076,2975bf243b2032696eba06b2dd3ce389b705b156,1761315019,Refactor type hints to use built-in generics,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects/compare/2975bf243b2032696eba06b2dd3ce389b705b156...388289af921bf775419c951406a1441cd10b8076,2.0,71.98,0,,0,,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:112=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:111=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:123=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1,7,Flask_NoModifyAfterServe:/hub/dashboard_app.py:112=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:111=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:176=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/hub/dashboard_app.py:123=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/representer.py:174=1,Flask_NoModifyAfterServe:/hub/dashboard_app.py:112<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:112;Flask_NoModifyAfterServe:/hub/dashboard_app.py:111<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:111;Flask_NoModifyAfterServe:/hub/dashboard_app.py:123<=Flask_NoModifyAfterServe:/hub/dashboard_app.py:123,28.0
