timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215502,1058dc2d038405f877e9cc7ff49b1afdfe69a5d9,,1695009856,"add 2023-24 season v15.0.0 release including all platform API update support, outstanding bug fixes and improvements, improved docker run option, ESPN Selenium login option, usage of YFPY v13.0.0, and various other updates",,,15.04,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263;InPlaceSortAnalysis:/calculate/beef_stats.py:176;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461,0,,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,0,,,
20260629_215502,e7d12308bbf2d5a6e1aefced2acd61026462cf37,1058dc2d038405f877e9cc7ff49b1afdfe69a5d9,1695172842,fix support for variety of flex idp positions in weekly average points by positions,https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/1058dc2d038405f877e9cc7ff49b1afdfe69a5d9...e7d12308bbf2d5a6e1aefced2acd61026462cf37,6.0,15.03,0,,0,,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,,95.0
20260629_215502,4e63dbcef7df4114b31f4f940b4cfc24f856bef0,e7d12308bbf2d5a6e1aefced2acd61026462cf37,1695937876,"redesign coaching efficiency logic to support all rosters, flex positions, etc., update CLI flags, and fix bugs",https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/e7d12308bbf2d5a6e1aefced2acd61026462cf37...4e63dbcef7df4114b31f4f940b4cfc24f856bef0,16.0,14.94,0,,0,,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180<=PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180;InPlaceSortAnalysis:/calculate/beef_stats.py:176<=InPlaceSortAnalysis:/calculate/beef_stats.py:176;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181<=InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181,809.0
20260629_215502,d808ad839a20f384c605247ab350193cd7b8e530,4e63dbcef7df4114b31f4f940b4cfc24f856bef0,1696034155,fix spacing problems in boom or bust chart and add additional boom or bust random titles,https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/4e63dbcef7df4114b31f4f940b4cfc24f856bef0...d808ad839a20f384c605247ab350193cd7b8e530,1.0,14.94,0,,0,,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,,69.0
20260629_215502,27a1e13bf6176addbca402340572eed9468644d6,d808ad839a20f384c605247ab350193cd7b8e530,1696052084,update readme and report with newer donation info,https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/d808ad839a20f384c605247ab350193cd7b8e530...27a1e13bf6176addbca402340572eed9468644d6,1.0,14.94,0,,0,,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,,30.0
20260629_215502,4233681f84b95ff019e39f8e8e934c1ea91438f4,27a1e13bf6176addbca402340572eed9468644d6,1697899558,"v16.0.0 release adding cbs platform support, type hints, and extensively refactoring the codebase",https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/27a1e13bf6176addbca402340572eed9468644d6...4233681f84b95ff019e39f8e8e934c1ea91438f4,31.0,14.69,0,,1,InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,7,PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;InPlaceSortAnalysis:/calculate/beef_stats.py:176=1;InPlaceSortAnalysis:/calculate/bad_boy_stats.py:181=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,InPlaceSortAnalysis:/calculate/beef_stats.py:188<=InPlaceSortAnalysis:/calculate/beef_stats.py:176;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172<=PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:180,5813.0
20260629_215502,7b7415a3178f93db6d68cfe65dc59f63a23d8b3c,4233681f84b95ff019e39f8e8e934c1ea91438f4,1697931598,fix platform str transformation bug,https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/4233681f84b95ff019e39f8e8e934c1ea91438f4...7b7415a3178f93db6d68cfe65dc59f63a23d8b3c,2.0,14.69,0,,0,,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,,8.0
20260629_215502,112d1ab775e8acd98fb9e96c51432cd7d9c80984,7b7415a3178f93db6d68cfe65dc59f63a23d8b3c,1700894400,"v17.0.0 change app to use pydantic and .env files instead of config.ini files for settings, fix cbs leagues without FAAB, upgrade Docker to Python 3.11.6, upgrade dependencies and documentation",https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/7b7415a3178f93db6d68cfe65dc59f63a23d8b3c...112d1ab775e8acd98fb9e96c51432cd7d9c80984,36.0,33.75,0,,0,,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,InPlaceSortAnalysis:/calculate/beef_stats.py:188<=InPlaceSortAnalysis:/calculate/beef_stats.py:188;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172<=PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172,1982.0
20260629_215502,1fcdb9a2eac08fa9f9325525356a6789bc5bda14,112d1ab775e8acd98fb9e96c51432cd7d9c80984,1701228666,fix broken .env generation when run in docker container,https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/112d1ab775e8acd98fb9e96c51432cd7d9c80984...1fcdb9a2eac08fa9f9325525356a6789bc5bda14,1.0,33.75,0,,0,,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,,18.0
20260629_215502,3a22bcf9cb35715b0268afb6c40838e09ec5310c,1fcdb9a2eac08fa9f9325525356a6789bc5bda14,1701229538,update git handling,https://github.com/uberfastman/fantasy-football-metrics-weekly-report/compare/1fcdb9a2eac08fa9f9325525356a6789bc5bda14...3a22bcf9cb35715b0268afb6c40838e09ec5310c,1.0,33.75,0,,0,,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,6,Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:242=1;InPlaceSortAnalysis:/calculate/beef_stats.py:188=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1;PyDocs_MustSortBeforeGroupBy:/calculate/bad_boy_stats.py:172=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:94=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:461=1,,15.0
