timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215308,0f9b4ff7f94eaa96fe73f3ec6ba15478f54ace89,,1746120707,bumped python version requirement,,,25.09,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47;Flask_NoModifyAfterServe:/tests/conftest.py:61;Flask_NoModifyAfterServe:/tests/conftest.py:62,0,,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1,0,,,
20260629_215308,6a40691e360faf050a5f38aef86007fe459d5126,0f9b4ff7f94eaa96fe73f3ec6ba15478f54ace89,1746121436,removed python file encoding directives,https://github.com/sujeetkv/flaskcode/compare/0f9b4ff7f94eaa96fe73f3ec6ba15478f54ace89...6a40691e360faf050a5f38aef86007fe459d5126,10.0,25.09,1,Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:20,1,Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/tests/conftest.py:60=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:20=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1,Flask_NoModifyAfterServe:/tests/conftest.py:60<=Flask_NoModifyAfterServe:/tests/conftest.py:61;Flask_NoModifyAfterServe:/tests/conftest.py:61<=Flask_NoModifyAfterServe:/tests/conftest.py:62,10.0
20260629_215308,2198f87f270335c912d5a757678830b17d20c5a7,6a40691e360faf050a5f38aef86007fe459d5126,1746289240,updated cli for theme options,https://github.com/sujeetkv/flaskcode/compare/6a40691e360faf050a5f38aef86007fe459d5126...2198f87f270335c912d5a757678830b17d20c5a7,1.0,25.0,0,,0,,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/tests/conftest.py:60=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:20=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/tests/conftest.py:60=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:20=1,,5.0
20260629_215308,ad189a53d9c31454f320d0b24eaf38474ef5360e,2198f87f270335c912d5a757678830b17d20c5a7,1746305609,fixed setup,https://github.com/sujeetkv/flaskcode/compare/2198f87f270335c912d5a757678830b17d20c5a7...ad189a53d9c31454f320d0b24eaf38474ef5360e,5.0,25.480000000000004,1,Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21,1,Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:20,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/tests/conftest.py:60=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:20=1,Flask_NoModifyAfterServe:/tests/conftest.py:61<=Flask_NoModifyAfterServe:/tests/conftest.py:60;Flask_NoModifyAfterServe:/tests/conftest.py:62<=Flask_NoModifyAfterServe:/tests/conftest.py:61,14.0
20260629_215308,141e71ce1f7f4796407aeacf7cc09643fe20e07f,ad189a53d9c31454f320d0b24eaf38474ef5360e,1746305956,lint fix for imports,https://github.com/sujeetkv/flaskcode/compare/ad189a53d9c31454f320d0b24eaf38474ef5360e...141e71ce1f7f4796407aeacf7cc09643fe20e07f,4.0,25.480000000000004,1,Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22,1,Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:21=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1,,6.0
20260629_215308,6074dd126d4f237aafb940d1ae86dce8ac7c1540,141e71ce1f7f4796407aeacf7cc09643fe20e07f,1746308578,updated readme and ci workflow,https://github.com/sujeetkv/flaskcode/compare/141e71ce1f7f4796407aeacf7cc09643fe20e07f...6074dd126d4f237aafb940d1ae86dce8ac7c1540,1.0,25.480000000000004,0,,0,,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,,2.0
20260629_215308,d1070adeec07fad0a23759e89772ec0b2e0fa1e8,6074dd126d4f237aafb940d1ae86dce8ac7c1540,1747679797,removed unused utils,https://github.com/sujeetkv/flaskcode/compare/6074dd126d4f237aafb940d1ae86dce8ac7c1540...d1070adeec07fad0a23759e89772ec0b2e0fa1e8,1.0,26.8,0,,0,,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,,27.0
20260629_215308,5d73d34cc5a7120a0bedf175e88fb14292ce67d5,d1070adeec07fad0a23759e89772ec0b2e0fa1e8,1751121072,fixed file path_name issue,https://github.com/sujeetkv/flaskcode/compare/d1070adeec07fad0a23759e89772ec0b2e0fa1e8...5d73d34cc5a7120a0bedf175e88fb14292ce67d5,1.0,26.8,0,,0,,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,,4.0
20260629_215308,1e33b43d9dc0f513464ff72a6215ad82a0a6b656,5d73d34cc5a7120a0bedf175e88fb14292ce67d5,1751122284,dir_tree backend improvement,https://github.com/sujeetkv/flaskcode/compare/5d73d34cc5a7120a0bedf175e88fb14292ce67d5...1e33b43d9dc0f513464ff72a6215ad82a0a6b656,1.0,26.8,0,,0,,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,,4.0
20260629_215308,60d52541e94f3abd20a9649e9a77eef3ae005fbc,1e33b43d9dc0f513464ff72a6215ad82a0a6b656,1751128711,write_file function improvement,https://github.com/sujeetkv/flaskcode/compare/1e33b43d9dc0f513464ff72a6215ad82a0a6b656...60d52541e94f3abd20a9649e9a77eef3ae005fbc,1.0,26.91,0,,0,,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,7,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;FileClosedAnalysis:/lib/python3.12/site-packages/werkzeug/utils.py:473=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:47=1;Flask_NoModifyAfterServe:/tests/conftest.py:61=1;Flask_NoModifyAfterServe:/tests/conftest.py:62=1;Flask_UnsafeFilePath:/lib/python3.12/site-packages/flaskcode/views.py:22=1,,15.0
