timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215239,684b3bbcf552b04b274dc1a03d5e18b1c95b44fd,,1752941448,Fix for RoR attack issues in #183 and #176 (#184),,,86.41,14,RandomMustUseSeed:/gatox/attack/attack.py:217;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574,0,,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,0,,,
20260629_215239,30292fccdfd00d11b4f5d736c303027e7becf449,684b3bbcf552b04b274dc1a03d5e18b1c95b44fd,1754231180,Add persistence techniques module for GitHub repository attacks with enhanced security and optional permissions (#188),https://github.com/AdnaneKhan/gato-x/compare/684b3bbcf552b04b274dc1a03d5e18b1c95b44fd...30292fccdfd00d11b4f5d736c303027e7becf449,9.0,86.53,0,,0,,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,,836.0
20260629_215239,4ef85c509d0fcaac013107663ccaf408bfb6ab71,30292fccdfd00d11b4f5d736c303027e7becf449,1755873003,Fix self-enumeration to support public_repo scope in addition to repo scope (#195),https://github.com/AdnaneKhan/gato-x/compare/30292fccdfd00d11b4f5d736c303027e7becf449...4ef85c509d0fcaac013107663ccaf408bfb6ab71,2.0,86.61,0,,0,,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63<=Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63,111.0
20260629_215239,a4e6b93cbf58c2b93275bc518103e214f6d1c29e,4ef85c509d0fcaac013107663ccaf408bfb6ab71,1755874216,✨ Set up Copilot instructions for Gato-X repository (#197),https://github.com/AdnaneKhan/gato-x/compare/4ef85c509d0fcaac013107663ccaf408bfb6ab71...a4e6b93cbf58c2b93275bc518103e214f6d1c29e,103.0,86.6,4,Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143,4,Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,RandomMustUseSeed:/gatox/attack/attack.py:217<=RandomMustUseSeed:/gatox/attack/attack.py:217;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197<=RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:200;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90<=RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108<=RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:109;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103<=RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92<=RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161<=RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161,1001.0
20260629_215239,68f22e09aca71f78075ee37c55b3f3f0a36395a6,a4e6b93cbf58c2b93275bc518103e214f6d1c29e,1755896742,Fix TOCTOU False Positive (#199),https://github.com/AdnaneKhan/gato-x/compare/a4e6b93cbf58c2b93275bc518103e214f6d1c29e...68f22e09aca71f78075ee37c55b3f3f0a36395a6,2.0,86.57000000000001,0,,0,,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,,27.0
20260629_215239,2dfb37ee514eb8aec853346d49542cdec4b8a24f,68f22e09aca71f78075ee37c55b3f3f0a36395a6,1757429522,feature: Add enumeration capabilities for Fine-Grained GitHub Personal Access Tokens (#203),https://github.com/AdnaneKhan/gato-x/compare/68f22e09aca71f78075ee37c55b3f3f0a36395a6...2dfb37ee514eb8aec853346d49542cdec4b8a24f,10.0,86.64,0,,0,,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62<=Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62,1263.0
20260629_215239,3d66fe7b8d447d51d4323e29a87e936c3373ebc4,2dfb37ee514eb8aec853346d49542cdec4b8a24f,1760138161,feature: Support secrets exfil for fine-grained tokens. (#212),https://github.com/AdnaneKhan/gato-x/compare/2dfb37ee514eb8aec853346d49542cdec4b8a24f...3d66fe7b8d447d51d4323e29a87e936c3373ebc4,5.0,86.53999999999999,0,,0,,14,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;RandomMustUseSeed:/gatox/attack/attack.py:218=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,RandomMustUseSeed:/gatox/attack/attack.py:217=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,RandomMustUseSeed:/gatox/attack/attack.py:218<=RandomMustUseSeed:/gatox/attack/attack.py:217;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206<=RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:197,196.0
20260629_215239,ca1155627dc7ab61b0aaa7817ace43c94499b38e,3d66fe7b8d447d51d4323e29a87e936c3373ebc4,1760138209,fix(enumeration): Fix miss for pwn request when workflow dispatch is present. (#214),https://github.com/AdnaneKhan/gato-x/compare/3d66fe7b8d447d51d4323e29a87e936c3373ebc4...ca1155627dc7ab61b0aaa7817ace43c94499b38e,5.0,86.53,0,,0,,14,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;RandomMustUseSeed:/gatox/attack/attack.py:218=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;RandomMustUseSeed:/gatox/attack/attack.py:218=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,,147.0
20260629_215239,321d31edea1cc6bc88aca828ea5964875dd173f0,ca1155627dc7ab61b0aaa7817ace43c94499b38e,1762011159,Update cli.py (#218),https://github.com/AdnaneKhan/gato-x/compare/ca1155627dc7ab61b0aaa7817ace43c94499b38e...321d31edea1cc6bc88aca828ea5964875dd173f0,1.0,86.53,0,,0,,14,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;RandomMustUseSeed:/gatox/attack/attack.py:218=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;RandomMustUseSeed:/gatox/attack/attack.py:218=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,,1.0
20260629_215239,afb4f708d261974b646a28f39a290add39c96428,321d31edea1cc6bc88aca828ea5964875dd173f0,1767384355,fix(enumeration): remove deep-dive enumeration for non-default branch pwn requests (#236),https://github.com/AdnaneKhan/gato-x/compare/321d31edea1cc6bc88aca828ea5964875dd173f0...afb4f708d261974b646a28f39a290add39c96428,18.0,86.7,0,,0,,14,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;RandomMustUseSeed:/gatox/attack/attack.py:218=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,14,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:439=1;Pydocs_NoReadAfterAccess:/unit_test/test_enumerate.py:62=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:90=1;RandomMustUseSeed:/gatox/attack/runner/payload_manager.py:108=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:103=1;Pydocs_NoReadAfterAccess:/unit_test/test_org_enumerate.py:31=1;RandomMustUseSeed:/gatox/workflow_parser/expression_evaluator.py:92=1;Pydocs_NoReadAfterAccess:/unit_test/test_repo_enumerate.py:29=1;RandomMustUseSeed:/gatox/attack/attack.py:218=1;RandomMustUseSeed:/gatox/enumerate/ingest/ingest.py:161=1;Pydocs_NoReadAfterAccess:/gatox/util/arg_utils.py:143=1;RandomMustUseSeed:/gatox/attack/secrets/secrets_attack.py:206=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,,500.0
