timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215940,a50a4f1725e7b382b79f28df3eef1c853057723d,,1760211018,"completed spec-kit implementation of first plan, fixed all tests and qa",,,34.0,0,,0,,0,,0,,,
20260629_215940,b937bff27ae031e209dc8168b1e00525be2c998c,a50a4f1725e7b382b79f28df3eef1c853057723d,1760214168,spec-kit implementatoin for user separation story 1 complete,https://github.com/jondavid-black/git-rest/compare/a50a4f1725e7b382b79f28df3eef1c853057723d...b937bff27ae031e209dc8168b1e00525be2c998c,9.0,32.76,0,,0,,0,,0,,,230.0
20260629_215940,ade26c406b5a364ba84984e248c4bfa97712cc38,b937bff27ae031e209dc8168b1e00525be2c998c,1760214357,spec-kit implementaiton for user separation story 2 complete,https://github.com/jondavid-black/git-rest/compare/b937bff27ae031e209dc8168b1e00525be2c998c...ade26c406b5a364ba84984e248c4bfa97712cc38,1.0,31.77,0,,0,,0,,0,,,50.0
20260629_215940,aa65f4540fd3dfb69d3f32f9f7ac90fea4515f21,ade26c406b5a364ba84984e248c4bfa97712cc38,1760215592,"completed final spec-kit implementation, test, and qa",https://github.com/jondavid-black/git-rest/compare/ade26c406b5a364ba84984e248c4bfa97712cc38...aa65f4540fd3dfb69d3f32f9f7ac90fea4515f21,17.0,31.7,0,,0,,0,,0,,,301.0
20260629_215940,617ea8c50a0fb8481c7b140efaf351bdb6feb695,aa65f4540fd3dfb69d3f32f9f7ac90fea4515f21,1760222249,completed spec-kit implementation to improve testing,https://github.com/jondavid-black/git-rest/compare/aa65f4540fd3dfb69d3f32f9f7ac90fea4515f21...617ea8c50a0fb8481c7b140efaf351bdb6feb695,19.0,94.64,6,Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:10;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:10;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:10;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:11;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911;Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:14,0,,6,Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:10=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:10=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:10=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:11=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:14=1,0,,,1008.0
20260629_215940,5f3ea64ca134fa8119721d1d7eeb2abdd79d034e,617ea8c50a0fb8481c7b140efaf351bdb6feb695,1760222988,fixed ruff check and format errors,https://github.com/jondavid-black/git-rest/compare/617ea8c50a0fb8481c7b140efaf351bdb6feb695...5f3ea64ca134fa8119721d1d7eeb2abdd79d034e,18.0,94.61,5,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13,5,Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:10;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:10;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:10;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:11;Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:14,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,6,Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:10=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:10=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:10=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:11=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:14=1,,447.0
20260629_215940,ce958e72b5483596dc569d56d8d94db1678f98d6,5f3ea64ca134fa8119721d1d7eeb2abdd79d034e,1760267797,"debug ci failure, add logging",https://github.com/jondavid-black/git-rest/compare/5f3ea64ca134fa8119721d1d7eeb2abdd79d034e...ce958e72b5483596dc569d56d8d94db1678f98d6,1.0,94.61,0,,0,,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,,6.0
20260629_215940,075cac999dbc16d1f72a2334b3a3e9cd1c5701cc,ce958e72b5483596dc569d56d8d94db1678f98d6,1760268775,debug github actions,https://github.com/jondavid-black/git-rest/compare/ce958e72b5483596dc569d56d8d94db1678f98d6...075cac999dbc16d1f72a2334b3a3e9cd1c5701cc,1.0,94.61,0,,0,,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,,10.0
20260629_215940,2cc3dd28419d66a71ed7fa57b6500fcce476ddbc,075cac999dbc16d1f72a2334b3a3e9cd1c5701cc,1760269353,more ci debug,https://github.com/jondavid-black/git-rest/compare/075cac999dbc16d1f72a2334b3a3e9cd1c5701cc...2cc3dd28419d66a71ed7fa57b6500fcce476ddbc,1.0,94.61,0,,0,,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,,7.0
20260629_215940,87a9cc36a07d2930019f8d9d917ab353538ba191,2cc3dd28419d66a71ed7fa57b6500fcce476ddbc,1760269701,ensure workdir exists in test harness,https://github.com/jondavid-black/git-rest/compare/2cc3dd28419d66a71ed7fa57b6500fcce476ddbc...87a9cc36a07d2930019f8d9d917ab353538ba191,1.0,94.61,0,,0,,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,6,Flask_NoModifyAfterServe:/tests/unit/test_api_branches.py:18=1;Flask_NoModifyAfterServe:/tests/unit/test_api_files.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_commit.py:13=1;Flask_NoModifyAfterServe:/tests/unit/test_api_repos.py:13=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/tests/unit/test_api_diff.py:13=1,,5.0
