timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220114,013172fd738f7fe0916d8e6896f8f0f121f8927b,,1743465427,prepping 2.0.0 release,,,50.13999999999999,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458,0,,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,0,,,
20260629_220114,0c1e924e63c2684abc0afce4d9e529a54742be52,013172fd738f7fe0916d8e6896f8f0f121f8927b,1744152621,"fix: action tests were failing, added corrections",https://github.com/phin3has/mailoney/compare/013172fd738f7fe0916d8e6896f8f0f121f8927b...0c1e924e63c2684abc0afce4d9e529a54742be52,4.0,54.8,0,,0,,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,98.0
20260629_220114,16ddebea444fdfc38040553d29f4181466064fa7,0c1e924e63c2684abc0afce4d9e529a54742be52,1744153210,fix: mock assertions were still broken...fixed?,https://github.com/phin3has/mailoney/compare/0c1e924e63c2684abc0afce4d9e529a54742be52...16ddebea444fdfc38040553d29f4181466064fa7,4.0,46.27,0,,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458,0,,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,134.0
20260629_220114,839b0f1738a17901a71053fa93cd805c6c0b8985,16ddebea444fdfc38040553d29f4181466064fa7,1744153469,fix: still having issues w/assertions,https://github.com/phin3has/mailoney/compare/16ddebea444fdfc38040553d29f4181466064fa7...839b0f1738a17901a71053fa93cd805c6c0b8985,3.0,50.72,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458,0,,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,0,,,123.0
20260629_220114,c2cf57cef7c828d24d9a8c0030e915969a544159,839b0f1738a17901a71053fa93cd805c6c0b8985,1744154146,fix: tests are being tricky,https://github.com/phin3has/mailoney/compare/839b0f1738a17901a71053fa93cd805c6c0b8985...c2cf57cef7c828d24d9a8c0030e915969a544159,4.0,49.3,1,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,3,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,164.0
20260629_220114,947136b14aa9bc415336f48c36732d23c0829641,c2cf57cef7c828d24d9a8c0030e915969a544159,1744154556,Fix SQLAlchemy DetachedInstanceError issues,https://github.com/phin3has/mailoney/compare/c2cf57cef7c828d24d9a8c0030e915969a544159...947136b14aa9bc415336f48c36732d23c0829641,2.0,58.28,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,54.0
20260629_220114,0971ef78de396ba4434f02a1a1789115c29ef0ab,947136b14aa9bc415336f48c36732d23c0829641,1767068357,feat: Add destination IP and port logging to sessions,https://github.com/phin3has/mailoney/compare/947136b14aa9bc415336f48c36732d23c0829641...0971ef78de396ba4434f02a1a1789115c29ef0ab,4.0,60.34,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,111.0
20260629_220114,15ad87f0a06accab269a9a2221176f6950a300a2,0971ef78de396ba4434f02a1a1789115c29ef0ab,1767068608,chore: bump version to 2.1.0,https://github.com/phin3has/mailoney/compare/0971ef78de396ba4434f02a1a1789115c29ef0ab...15ad87f0a06accab269a9a2221176f6950a300a2,1.0,60.34,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,2.0
20260629_220114,386e2c7256785bd80748d01045d6a87ffd206421,15ad87f0a06accab269a9a2221176f6950a300a2,1778324327,fix(core): support IPv6 and dual-stack SMTP bind,https://github.com/phin3has/mailoney/compare/15ad87f0a06accab269a9a2221176f6950a300a2...386e2c7256785bd80748d01045d6a87ffd206421,1.0,60.09,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,28.0
20260629_220114,5c4bd0c06609105d6232605de1e9d71b538818bd,386e2c7256785bd80748d01045d6a87ffd206421,1778331788,feat: implement SMTP DATA phase with optional filesystem storage,https://github.com/phin3has/mailoney/compare/386e2c7256785bd80748d01045d6a87ffd206421...5c4bd0c06609105d6232605de1e9d71b538818bd,4.0,65.47,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1458=1,,413.0
