timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215448,ccdb7ef6865acca7d57f1f0d6448fd90323ba268,,1534750908,Toc and footnotes extension,,,40.59,0,,0,,0,,0,,,
20260629_215448,e64bdcf1c2add928e21245e93f702dccb08ab018,ccdb7ef6865acca7d57f1f0d6448fd90323ba268,1534751329,fix docs,https://github.com/frostming/marko/compare/ccdb7ef6865acca7d57f1f0d6448fd90323ba268...e64bdcf1c2add928e21245e93f702dccb08ab018,1.0,40.59,0,,0,,0,,0,,,3.0
20260629_215448,e94cfa6460abb98b09ce8bf9f5c8a91cf33826b2,e64bdcf1c2add928e21245e93f702dccb08ab018,1534751697,declare encoding,https://github.com/frostming/marko/compare/e64bdcf1c2add928e21245e93f702dccb08ab018...e94cfa6460abb98b09ce8bf9f5c8a91cf33826b2,1.0,40.59,0,,0,,0,,0,,,1.0
20260629_215448,2fccd4c16402e831ce7b49995449f3bb105e009d,e94cfa6460abb98b09ce8bf9f5c8a91cf33826b2,1534757954,pangu,https://github.com/frostming/marko/compare/e94cfa6460abb98b09ce8bf9f5c8a91cf33826b2...2fccd4c16402e831ce7b49995449f3bb105e009d,3.0,41.15,0,,0,,0,,0,,,58.0
20260629_215448,f15f74b2087c512f734c112ee5f0b601e82ba601,2fccd4c16402e831ce7b49995449f3bb105e009d,1534761214,improve,https://github.com/frostming/marko/compare/2fccd4c16402e831ce7b49995449f3bb105e009d...f15f74b2087c512f734c112ee5f0b601e82ba601,3.0,41.120000000000005,0,,0,,0,,0,,,7.0
20260629_215448,b493f3f212c3cdd06d6039ae7beb1c3d1be1c4b5,f15f74b2087c512f734c112ee5f0b601e82ba601,1534764358,reset root node,https://github.com/frostming/marko/compare/f15f74b2087c512f734c112ee5f0b601e82ba601...b493f3f212c3cdd06d6039ae7beb1c3d1be1c4b5,1.0,41.099999999999994,0,,0,,0,,0,,,3.0
20260629_215449,8793c2c0225112e19d0910d6f1b58273f7c1e082,b493f3f212c3cdd06d6039ae7beb1c3d1be1c4b5,1536659178,fix cjk regex,https://github.com/frostming/marko/compare/b493f3f212c3cdd06d6039ae7beb1c3d1be1c4b5...8793c2c0225112e19d0910d6f1b58273f7c1e082,17.0,38.48,0,,0,,0,,0,,,164.0
20260629_215449,8037d00c11bf54df5de7791dbff19da3329cde31,8793c2c0225112e19d0910d6f1b58273f7c1e082,1539577690,Recognize chinese punctuations as delimiters Fixes #1,https://github.com/frostming/marko/compare/8793c2c0225112e19d0910d6f1b58273f7c1e082...8037d00c11bf54df5de7791dbff19da3329cde31,2.0,45.67,0,,0,,0,,0,,,20.0
20260629_215449,dfe5cdea2bfea6a7ca60297b54e9e5e00aef6e9a,8037d00c11bf54df5de7791dbff19da3329cde31,1546914519,Fix failure bug of TOC rendering. Fixes #2,https://github.com/frostming/marko/compare/8037d00c11bf54df5de7791dbff19da3329cde31...dfe5cdea2bfea6a7ca60297b54e9e5e00aef6e9a,3.0,45.49,0,,0,,0,,0,,,16.0
20260629_215449,e29d759fabaeb6f06e3535f6e501c6b072beb19e,dfe5cdea2bfea6a7ca60297b54e9e5e00aef6e9a,1546919442,tox testing,https://github.com/frostming/marko/compare/dfe5cdea2bfea6a7ca60297b54e9e5e00aef6e9a...e29d759fabaeb6f06e3535f6e501c6b072beb19e,3.0,50.24999999999999,0,,0,,0,,0,,,50.0
