timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_214924,45a08dd6f3a76ba25881d1416febf9239546ae3c,,1749738350,feat: Add comprehensive CI/CD pipeline for pull requests,,,47.92,0,,0,,0,,0,,,
20260629_214924,011e2bbdbe9113d34689f8b623f2012e525bb5e0,45a08dd6f3a76ba25881d1416febf9239546ae3c,1749738870,fix: Resolve import and test configuration issues,https://github.com/meron14725/note-columns-post-bot/compare/45a08dd6f3a76ba25881d1416febf9239546ae3c...011e2bbdbe9113d34689f8b623f2012e525bb5e0,4.0,72.32,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,0,,,59.0
20260629_214924,34f049b76f06d37106161fc9f23e9d5d2f6a0ee2,011e2bbdbe9113d34689f8b623f2012e525bb5e0,1749739047,fix: Drastically simplify CI/CD pipeline for reliability,https://github.com/meron14725/note-columns-post-bot/compare/011e2bbdbe9113d34689f8b623f2012e525bb5e0...34f049b76f06d37106161fc9f23e9d5d2f6a0ee2,1.0,73.11,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,57.0
20260629_214924,32ba28da54e9aab00c034030dfafa42d5c90b6ac,34f049b76f06d37106161fc9f23e9d5d2f6a0ee2,1749786161,修正: Note.comスクレイパーの完全なリファクタリング (#5),https://github.com/meron14725/note-columns-post-bot/compare/34f049b76f06d37106161fc9f23e9d5d2f6a0ee2...32ba28da54e9aab00c034030dfafa42d5c90b6ac,9.0,69.56,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,2195.0
20260629_214924,552fefb075cf436a56b90abf93923ac4c3a5171f,32ba28da54e9aab00c034030dfafa42d5c90b6ac,1749788416,機能: ストリーミング評価方式によるDB容量最適化を実装 (#6),https://github.com/meron14725/note-columns-post-bot/compare/32ba28da54e9aab00c034030dfafa42d5c90b6ac...552fefb075cf436a56b90abf93923ac4c3a5171f,10.0,69.56,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,892.0
20260629_214924,feb2b01405591a69d596c21070cd2ef7080ef6bf,552fefb075cf436a56b90abf93923ac4c3a5171f,1749874769,機能: エンタメカテゴリ拡張とAI評価システム改善 (#8),https://github.com/meron14725/note-columns-post-bot/compare/552fefb075cf436a56b90abf93923ac4c3a5171f...feb2b01405591a69d596c21070cd2ef7080ef6bf,1.0,69.56,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,22.0
20260629_214924,a6d9ccca4ddd35a7a366fd261e809a7ec49de992,feb2b01405591a69d596c21070cd2ef7080ef6bf,1749919310,修正: 記事重複収集問題の解決とデータ整合性の向上 (#12),https://github.com/meron14725/note-columns-post-bot/compare/feb2b01405591a69d596c21070cd2ef7080ef6bf...a6d9ccca4ddd35a7a366fd261e809a7ec49de992,5.0,69.56,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,564.0
20260629_214924,23fd21fe18df75d19b77436842eb9701067c0479,a6d9ccca4ddd35a7a366fd261e809a7ec49de992,1749965499,修正: AI評価重複スコア問題の解決と検出システム実装 (#19),https://github.com/meron14725/note-columns-post-bot/compare/a6d9ccca4ddd35a7a366fd261e809a7ec49de992...23fd21fe18df75d19b77436842eb9701067c0479,18.0,54.02,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,1807.0
20260629_214924,5b615b1bcbcc88426ccf6bc123ba7e80ac51ce27,23fd21fe18df75d19b77436842eb9701067c0479,1750069853,修正: AI評価重複スコア問題の完全解決とプロンプト最適化 (#20),https://github.com/meron14725/note-columns-post-bot/compare/23fd21fe18df75d19b77436842eb9701067c0479...5b615b1bcbcc88426ccf6bc123ba7e80ac51ce27,4.0,54.279999999999994,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,364.0
20260629_214924,a030aa1c913c794ab48e1ecfab522aed07b7f202,5b615b1bcbcc88426ccf6bc123ba7e80ac51ce27,1750071581,機能: AI評価重複スコア自動再評価システムの実装 (#18) (#21),https://github.com/meron14725/note-columns-post-bot/compare/5b615b1bcbcc88426ccf6bc123ba7e80ac51ce27...a030aa1c913c794ab48e1ecfab522aed07b7f202,4.0,54.48,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,506.0
20260629_214924,0c42b93377db5d6049be8dd495c0a608d414a1df,a030aa1c913c794ab48e1ecfab522aed07b7f202,1750075517,修正: AI評価重複スコア問題の完全解決とプロンプト最適化 (#23),https://github.com/meron14725/note-columns-post-bot/compare/a030aa1c913c794ab48e1ecfab522aed07b7f202...0c42b93377db5d6049be8dd495c0a608d414a1df,2.0,51.98,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,211.0
20260629_214924,51f63f5c58c75c57cc4a24023845a3327c97f13e,0c42b93377db5d6049be8dd495c0a608d414a1df,1750079055,修正: データベース保存問題の解決とローカルテストルール追加 (#24),https://github.com/meron14725/note-columns-post-bot/compare/0c42b93377db5d6049be8dd495c0a608d414a1df...51f63f5c58c75c57cc4a24023845a3327c97f13e,9.0,17.73,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,66.0
20260629_214924,b49569eea94720e128b1c51cb90754019250678f,51f63f5c58c75c57cc4a24023845a3327c97f13e,1750119782,修正: Gitワークフローにgit pullルールを追加 (#32),https://github.com/meron14725/note-columns-post-bot/compare/51f63f5c58c75c57cc4a24023845a3327c97f13e...b49569eea94720e128b1c51cb90754019250678f,8.0,17.53,0,,0,,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,,71.0
