timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215146,0a07452fd2b83e18a20ff2ffdcbaa12df2839912,,1576235803,first commit,,,43.59,0,,0,,0,,0,,,
20260629_215147,19d4f30b19c8518de01676c6695799d0423646a3,0a07452fd2b83e18a20ff2ffdcbaa12df2839912,1576572841,Added dummy test,https://github.com/rheinwerk-verlag/pganonymize/compare/0a07452fd2b83e18a20ff2ffdcbaa12df2839912...19d4f30b19c8518de01676c6695799d0423646a3,8.0,1.156,0,,0,,0,,0,,,348.0
20260629_215147,f3c2896a97b42c5defd61dbed11c9435e3fe2a3c,19d4f30b19c8518de01676c6695799d0423646a3,1576578326,Refactored the code,https://github.com/rheinwerk-verlag/pganonymize/compare/19d4f30b19c8518de01676c6695799d0423646a3...f3c2896a97b42c5defd61dbed11c9435e3fe2a3c,2.0,3.2259999999999995,0,,0,,0,,0,,,163.0
20260629_215147,e04b08aef25445e5d6769a277997ae79569fbe85,f3c2896a97b42c5defd61dbed11c9435e3fe2a3c,1576578700,Fixed logging,https://github.com/rheinwerk-verlag/pganonymize/compare/f3c2896a97b42c5defd61dbed11c9435e3fe2a3c...e04b08aef25445e5d6769a277997ae79569fbe85,2.0,3.2259999999999995,0,,0,,0,,0,,,17.0
20260629_215147,80fad3c78641b0de5c1ae35ec8bf9d75585ed51a,e04b08aef25445e5d6769a277997ae79569fbe85,1576580181,Added docstrings,https://github.com/rheinwerk-verlag/pganonymize/compare/e04b08aef25445e5d6769a277997ae79569fbe85...80fad3c78641b0de5c1ae35ec8bf9d75585ed51a,1.0,3.2259999999999995,0,,0,,0,,0,,,25.0
20260629_215147,716e104f8f382f389bd551b409c30a3edaec449f,80fad3c78641b0de5c1ae35ec8bf9d75585ed51a,1576580250,Removed debugger,https://github.com/rheinwerk-verlag/pganonymize/compare/80fad3c78641b0de5c1ae35ec8bf9d75585ed51a...716e104f8f382f389bd551b409c30a3edaec449f,1.0,3.2259999999999995,0,,0,,0,,0,,,1.0
20260629_215147,019ea6f571944c9d385e920c179342006e449151,716e104f8f382f389bd551b409c30a3edaec449f,1576580922,Better exception handling,https://github.com/rheinwerk-verlag/pganonymize/compare/716e104f8f382f389bd551b409c30a3edaec449f...019ea6f571944c9d385e920c179342006e449151,2.0,3.175,0,,0,,0,,0,,,12.0
20260629_215147,fcec175689bef8283e2d916baf52207092cf6087,019ea6f571944c9d385e920c179342006e449151,1576584470,Fixed another delimiter bug and added some documentation,https://github.com/rheinwerk-verlag/pganonymize/compare/019ea6f571944c9d385e920c179342006e449151...fcec175689bef8283e2d916baf52207092cf6087,2.0,1.093,0,,0,,0,,0,,,22.0
20260629_215147,03b27bd2a5da58654d0a1cc9ec3409309bd2e084,fcec175689bef8283e2d916baf52207092cf6087,1576651549,Updated setup.py,https://github.com/rheinwerk-verlag/pganonymize/compare/fcec175689bef8283e2d916baf52207092cf6087...03b27bd2a5da58654d0a1cc9ec3409309bd2e084,1.0,1.093,0,,0,,0,,0,,,8.0
20260629_215147,f6036231087f38cefcceaaba480e249f45805fba,03b27bd2a5da58654d0a1cc9ec3409309bd2e084,1576653810,Release 0.1.1,https://github.com/rheinwerk-verlag/pganonymize/compare/03b27bd2a5da58654d0a1cc9ec3409309bd2e084...f6036231087f38cefcceaaba480e249f45805fba,1.0,1.093,0,,0,,0,,0,,,2.0
20260629_215147,75072062e38a1e7bf72168d3b6424f8f3e4100b2,f6036231087f38cefcceaaba480e249f45805fba,1576666971,Added provider classes,https://github.com/rheinwerk-verlag/pganonymize/compare/f6036231087f38cefcceaaba480e249f45805fba...75072062e38a1e7bf72168d3b6424f8f3e4100b2,3.0,0.885,0,,0,,0,,0,,,127.0
