timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215358,f1c53c7e8710ea9c6d98c10ce475c3c4d6c62f4a,,1548157587,Add init for test,,,84.02,1,InvalidComparisonAnalysis:/test/test_metric.py:14,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,0,,,
20260629_215358,63113a46cc9fac717f8f5a2865e5e4cafb79da63,f1c53c7e8710ea9c6d98c10ce475c3c4d6c62f4a,1548157609,Add versioning and description,https://github.com/opsview/plugnpy/compare/f1c53c7e8710ea9c6d98c10ce475c3c4d6c62f4a...63113a46cc9fac717f8f5a2865e5e4cafb79da63,1.0,84.21,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,6.0
20260629_215359,c5494945bc84992a8827009f67b3e4abb9c871cc,63113a46cc9fac717f8f5a2865e5e4cafb79da63,1548157930,Add missing method docstring,https://github.com/opsview/plugnpy/compare/63113a46cc9fac717f8f5a2865e5e4cafb79da63...c5494945bc84992a8827009f67b3e4abb9c871cc,1.0,84.21,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,1.0
20260629_215359,f2b263a23ccfb32a109690ddd3fa4e5443433f31,c5494945bc84992a8827009f67b3e4abb9c871cc,1548428721,Fix linter warnings,https://github.com/opsview/plugnpy/compare/c5494945bc84992a8827009f67b3e4abb9c871cc...f2b263a23ccfb32a109690ddd3fa4e5443433f31,4.0,84.21,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,48.0
20260629_215359,2ab339d46ea73a658add7b6e3e6d45b62e0ef26a,f2b263a23ccfb32a109690ddd3fa4e5443433f31,1548776661,Export test results in junit,https://github.com/opsview/plugnpy/compare/f2b263a23ccfb32a109690ddd3fa4e5443433f31...2ab339d46ea73a658add7b6e3e6d45b62e0ef26a,1.0,84.21,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,1.0
20260629_215359,8c3ddeacddcc67d311fab41dc7d26eb6208f3211,2ab339d46ea73a658add7b6e3e6d45b62e0ef26a,1550568860,Add more linters,https://github.com/opsview/plugnpy/compare/2ab339d46ea73a658add7b6e3e6d45b62e0ef26a...8c3ddeacddcc67d311fab41dc7d26eb6208f3211,1.0,84.21,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,3.0
20260629_215359,b4460224fb4a388ec641f3fb997405d2a3080dc1,8c3ddeacddcc67d311fab41dc7d26eb6208f3211,1550569570,Fix init lint errors,https://github.com/opsview/plugnpy/compare/8c3ddeacddcc67d311fab41dc7d26eb6208f3211...b4460224fb4a388ec641f3fb997405d2a3080dc1,1.0,84.27,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,2.0
20260629_215359,a5fb71506cc32d33b0120454f15e9cecb94e7413,b4460224fb4a388ec641f3fb997405d2a3080dc1,1556098940,New method to add existing Metric object to Check (#4),https://github.com/opsview/plugnpy/compare/b4460224fb4a388ec641f3fb997405d2a3080dc1...a5fb71506cc32d33b0120454f15e9cecb94e7413,3.0,85.28,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,47.0
20260629_215359,27d6c1d6fb04bf8c4093b0e318718834477cffa3,a5fb71506cc32d33b0120454f15e9cecb94e7413,1556108925,"Bugfix - unsupported ArgumentParser kwarg ""copystr"" no longer passed to super() method",https://github.com/opsview/plugnpy/compare/a5fb71506cc32d33b0120454f15e9cecb94e7413...27d6c1d6fb04bf8c4093b0e318718834477cffa3,3.0,90.11,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,13.0
20260629_215359,61b5839f6e6fcaa6121f84a73ee42f058e6e0551,27d6c1d6fb04bf8c4093b0e318718834477cffa3,1557401195,Updated exit_<status>() methods to be consistent with final() output format,https://github.com/opsview/plugnpy/compare/27d6c1d6fb04bf8c4093b0e318718834477cffa3...61b5839f6e6fcaa6121f84a73ee42f058e6e0551,2.0,90.11,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,4.0
20260629_215359,28df77d7a33a233cb3108832ba57192e018b833d,61b5839f6e6fcaa6121f84a73ee42f058e6e0551,1563891838,Fix inconsistencies (#9),https://github.com/opsview/plugnpy/compare/61b5839f6e6fcaa6121f84a73ee42f058e6e0551...28df77d7a33a233cb3108832ba57192e018b833d,9.0,95.27,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,InvalidComparisonAnalysis:/test/test_metric.py:14<=InvalidComparisonAnalysis:/test/test_metric.py:14,546.0
20260629_215359,4712e9c521ce79d819d21bac2187c0874b902826,28df77d7a33a233cb3108832ba57192e018b833d,1560390313,Fix encoding error on readme,https://github.com/opsview/plugnpy/compare/28df77d7a33a233cb3108832ba57192e018b833d...4712e9c521ce79d819d21bac2187c0874b902826,1.0,95.27,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,2.0
20260629_215359,b6f6fed22efb37837f4c7450f571fb16db937f36,4712e9c521ce79d819d21bac2187c0874b902826,1567141520,Fix missing perf_data on str numbers,https://github.com/opsview/plugnpy/compare/4712e9c521ce79d819d21bac2187c0874b902826...b6f6fed22efb37837f4c7450f571fb16db937f36,2.0,95.31,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,InvalidComparisonAnalysis:/test/test_metric.py:14<=InvalidComparisonAnalysis:/test/test_metric.py:14,11.0
20260629_215359,db28724160498356223f338638d9a28eb836e697,b6f6fed22efb37837f4c7450f571fb16db937f36,1568104615,ODI-3720 Update version to 2.0.1,https://github.com/opsview/plugnpy/compare/b6f6fed22efb37837f4c7450f571fb16db937f36...db28724160498356223f338638d9a28eb836e697,2.0,95.53,0,,0,,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,8.0
20260629_215359,e8e97d1ff2dda1fc841e72813ade6d12f4f6e654,db28724160498356223f338638d9a28eb836e697,1572626638,ODI-3611 Add cache manager client,https://github.com/opsview/plugnpy/compare/db28724160498356223f338638d9a28eb836e697...e8e97d1ff2dda1fc841e72813ade6d12f4f6e654,12.0,84.14,2,InvalidComparisonAnalysis:/test/test_base.py:12;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661,1,InvalidComparisonAnalysis:/test/test_metric.py:14,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,1,InvalidComparisonAnalysis:/test/test_metric.py:14=1,,341.0
20260629_215359,768ec044afb7567fd3617f4b224d62318956eec4,e8e97d1ff2dda1fc841e72813ade6d12f4f6e654,1578053362,Added support for unit per_second,https://github.com/opsview/plugnpy/compare/e8e97d1ff2dda1fc841e72813ade6d12f4f6e654...768ec044afb7567fd3617f4b224d62318956eec4,1.0,84.17999999999999,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,2.0
20260629_215359,c451d563672ef8bf4e53a3a1fc2864254b25675c,768ec044afb7567fd3617f4b224d62318956eec4,1578057866,added changes for /s support,https://github.com/opsview/plugnpy/compare/768ec044afb7567fd3617f4b224d62318956eec4...c451d563672ef8bf4e53a3a1fc2864254b25675c,2.0,84.41,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,14.0
20260629_215359,de49e2f290970c34f373bdeb194bfd7af517fa27,c451d563672ef8bf4e53a3a1fc2864254b25675c,1579259577,CacheManagerUtils now supports TTL,https://github.com/opsview/plugnpy/compare/c451d563672ef8bf4e53a3a1fc2864254b25675c...de49e2f290970c34f373bdeb194bfd7af517fa27,4.0,84.47,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,27.0
20260629_215359,7cb6063434ed8c2ac8d57f68a83aebb8c15a581c,de49e2f290970c34f373bdeb194bfd7af517fa27,1579272983,ODI-4878 Fix broken get_via_cachemanager unit test,https://github.com/opsview/plugnpy/compare/de49e2f290970c34f373bdeb194bfd7af517fa27...7cb6063434ed8c2ac8d57f68a83aebb8c15a581c,1.0,84.47,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,2.0
20260629_215359,0ae822446f9f4dadaee246c66fdbdb71cd16efec,7cb6063434ed8c2ac8d57f68a83aebb8c15a581c,1580381110,ODI-4932 Fix get_via_cachemanager,https://github.com/opsview/plugnpy/compare/7cb6063434ed8c2ac8d57f68a83aebb8c15a581c...0ae822446f9f4dadaee246c66fdbdb71cd16efec,3.0,82.42,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,25.0
20260629_215359,9e3fe607979655895bb74f3e3ec128bc0dfd7ef7,0ae822446f9f4dadaee246c66fdbdb71cd16efec,1585062031,ODI-4320 Add python3 support to plugnpy,https://github.com/opsview/plugnpy/compare/0ae822446f9f4dadaee246c66fdbdb71cd16efec...9e3fe607979655895bb74f3e3ec128bc0dfd7ef7,12.0,75.7,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,139.0
20260629_215359,d289c5cdab66388ef1cd456d67be6183f8241cef,9e3fe607979655895bb74f3e3ec128bc0dfd7ef7,1590057324,Release plugnpy-v2.0.7,https://github.com/opsview/plugnpy/compare/9e3fe607979655895bb74f3e3ec128bc0dfd7ef7...d289c5cdab66388ef1cd456d67be6183f8241cef,4.0,72.99,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,82.0
20260629_215359,e9e42d02e26643c3d53505c03fc5849e420552aa,d289c5cdab66388ef1cd456d67be6183f8241cef,1593769201,ODI-6132 Auto convert byte rate units,https://github.com/opsview/plugnpy/compare/d289c5cdab66388ef1cd456d67be6183f8241cef...e9e42d02e26643c3d53505c03fc5849e420552aa,2.0,73.04,0,,0,,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,,13.0
20260629_215359,0f42b473a7d5542da6b3d1cb1d86c73a3ac71e9a,e9e42d02e26643c3d53505c03fc5849e420552aa,1629806479,OP-45719 Support for negative thresholds when using conversion factors,https://github.com/opsview/plugnpy/compare/e9e42d02e26643c3d53505c03fc5849e420552aa...0f42b473a7d5542da6b3d1cb1d86c73a3ac71e9a,16.0,80.14,0,,0,,2,ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1;InvalidComparisonAnalysis:/test/test_base.py:13=1,2,InvalidComparisonAnalysis:/test/test_base.py:12=1;ItemInList:/lib/python3.12/site-packages/gevent/_socket3.py:661=1,InvalidComparisonAnalysis:/test/test_base.py:13<=InvalidComparisonAnalysis:/test/test_base.py:12,195.0
