timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215616,0dde75be1a56f110f12a0e51b8ddba97b4b4ee1c,,1703866587,Refactor event emitter tests directory,,,22.48,0,,0,,0,,0,,,
20260629_215616,f9deaec3cff15fd876937df4f56c4e8943685136,0dde75be1a56f110f12a0e51b8ddba97b4b4ee1c,1703868217,Update ignored mypy error codes,https://github.com/mdapena/pyventus/compare/0dde75be1a56f110f12a0e51b8ddba97b4b4ee1c...f9deaec3cff15fd876937df4f56c4e8943685136,5.0,22.48,0,,0,,0,,0,,,36.0
20260629_215616,756212f6060bd52d9573541b849a1dd81063ad66,f9deaec3cff15fd876937df4f56c4e8943685136,1703873820,Release version 0.3.0,https://github.com/mdapena/pyventus/compare/f9deaec3cff15fd876937df4f56c4e8943685136...756212f6060bd52d9573541b849a1dd81063ad66,1.0,22.48,0,,0,,0,,0,,,2.0
20260629_215616,ff3e93f8f38abd6bf97cea659f52b24748e50bfa,756212f6060bd52d9573541b849a1dd81063ad66,1703874030,Update event emitter docstring links,https://github.com/mdapena/pyventus/compare/756212f6060bd52d9573541b849a1dd81063ad66...ff3e93f8f38abd6bf97cea659f52b24748e50bfa,4.0,22.48,0,,0,,0,,0,,,8.0
20260629_215616,b451b5be908fc5f90a6c3f015c4dc0bf51d08838,ff3e93f8f38abd6bf97cea659f52b24748e50bfa,1704300393,Update event emitters imports and log messages,https://github.com/mdapena/pyventus/compare/ff3e93f8f38abd6bf97cea659f52b24748e50bfa...b451b5be908fc5f90a6c3f015c4dc0bf51d08838,5.0,22.46,0,,0,,0,,0,,,36.0
20260629_215616,a03be78a838e2c28e9ba055e665be3e41250b3fa,b451b5be908fc5f90a6c3f015c4dc0bf51d08838,1704300569,Add FastAPI event emitter,https://github.com/mdapena/pyventus/compare/b451b5be908fc5f90a6c3f015c4dc0bf51d08838...a03be78a838e2c28e9ba055e665be3e41250b3fa,2.0,22.15,0,,0,,0,,0,,,76.0
20260629_215616,b484f98260729b1f1a8b2cdf819470ad5414728f,a03be78a838e2c28e9ba055e665be3e41250b3fa,1704303131,Add FastAPIEventEmitter tests,https://github.com/mdapena/pyventus/compare/a03be78a838e2c28e9ba055e665be3e41250b3fa...b484f98260729b1f1a8b2cdf819470ad5414728f,6.0,21.39,0,,0,,0,,0,,,211.0
20260629_215616,8b75f217f20d6021f1a75c72913345715496fb71,b484f98260729b1f1a8b2cdf819470ad5414728f,1704312835,Refactor FastAPIEventEmitter,https://github.com/mdapena/pyventus/compare/b484f98260729b1f1a8b2cdf819470ad5414728f...8b75f217f20d6021f1a75c72913345715496fb71,2.0,21.56,0,,0,,0,,0,,,101.0
20260629_215616,d5338ad321213d4fb92a04cbae708fbf1e0f1a29,8b75f217f20d6021f1a75c72913345715496fb71,1704520701,Release version 0.4.0,https://github.com/mdapena/pyventus/compare/8b75f217f20d6021f1a75c72913345715496fb71...d5338ad321213d4fb92a04cbae708fbf1e0f1a29,1.0,21.56,0,,0,,0,,0,,,2.0
20260629_215616,62fac749c8fc46cd29f819ab6af57166b58d8ed8,d5338ad321213d4fb92a04cbae708fbf1e0f1a29,1706651493,Minor adjustment to the overall docs,https://github.com/mdapena/pyventus/compare/d5338ad321213d4fb92a04cbae708fbf1e0f1a29...62fac749c8fc46cd29f819ab6af57166b58d8ed8,2.0,21.56,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,0,,,12.0
20260629_215616,418385599d0f4641e930637d22abe7b0b02a1aca,62fac749c8fc46cd29f819ab6af57166b58d8ed8,1706652699,Updated EventEmission class by adding the typing's final decorator,https://github.com/mdapena/pyventus/compare/62fac749c8fc46cd29f819ab6af57166b58d8ed8...418385599d0f4641e930637d22abe7b0b02a1aca,1.0,21.61,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,3.0
20260629_215616,de3650fd44275c6ed53ddffc04b1048380bb50dc,418385599d0f4641e930637d22abe7b0b02a1aca,1706660392,Release version 0.4.1,https://github.com/mdapena/pyventus/compare/418385599d0f4641e930637d22abe7b0b02a1aca...de3650fd44275c6ed53ddffc04b1048380bb50dc,1.0,21.61,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,2.0
20260629_215616,1a7b89cce25be8dcacc26d8eac2c0b58c875ed63,de3650fd44275c6ed53ddffc04b1048380bb50dc,1712679810,New Event Semantic and Major Improvements (#12),https://github.com/mdapena/pyventus/compare/de3650fd44275c6ed53ddffc04b1048380bb50dc...1a7b89cce25be8dcacc26d8eac2c0b58c875ed63,28.0,22.21,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,3725.0
20260629_215616,f71a7147cde167ecacc804ff27dc94dd41709886,1a7b89cce25be8dcacc26d8eac2c0b58c875ed63,1722003810,Refactor event-driven implementations into an 'events' module,https://github.com/mdapena/pyventus/compare/1a7b89cce25be8dcacc26d8eac2c0b58c875ed63...f71a7147cde167ecacc804ff27dc94dd41709886,36.0,22.14,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,102.0
20260629_215616,546e384e67985f5004dd29f53526063be0340d0d,f71a7147cde167ecacc804ff27dc94dd41709886,1722007493,Refactor callback utils and add support for generators,https://github.com/mdapena/pyventus/compare/f71a7147cde167ecacc804ff27dc94dd41709886...546e384e67985f5004dd29f53526063be0340d0d,10.0,21.54,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,494.0
20260629_215616,9afff7c473d700b85279edcc0c7c8abecd19f357,546e384e67985f5004dd29f53526063be0340d0d,1722008712,Add validations to exclude generators in EventHandler callbacks,https://github.com/mdapena/pyventus/compare/546e384e67985f5004dd29f53526063be0340d0d...9afff7c473d700b85279edcc0c7c8abecd19f357,2.0,21.37,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,47.0
20260629_215616,738f21a2d7d0280baa00b885128fabcd1ae529ff,9afff7c473d700b85279edcc0c7c8abecd19f357,1722009010,Add 'reactive' module for observer pattern implementation,https://github.com/mdapena/pyventus/compare/9afff7c473d700b85279edcc0c7c8abecd19f357...738f21a2d7d0280baa00b885128fabcd1ae529ff,1.0,21.37,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,0.0
20260629_215616,03bdd3a9241001e309ad693d62c4a305efb70a08,738f21a2d7d0280baa00b885128fabcd1ae529ff,1722037310,Add Unsubscribable interface,https://github.com/mdapena/pyventus/compare/738f21a2d7d0280baa00b885128fabcd1ae529ff...03bdd3a9241001e309ad693d62c4a305efb70a08,2.0,21.33,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,17.0
20260629_215616,de4119b69d71871ff0fe61014964923263635c45,03bdd3a9241001e309ad693d62c4a305efb70a08,1722037864,Add Subscription base class,https://github.com/mdapena/pyventus/compare/03bdd3a9241001e309ad693d62c4a305efb70a08...de4119b69d71871ff0fe61014964923263635c45,1.0,20.1,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,246.0
20260629_215616,900e0246ef4b5973165ca910247f0750c5d64f4d,de4119b69d71871ff0fe61014964923263635c45,1722038437,Add SubscriptionContext base class,https://github.com/mdapena/pyventus/compare/de4119b69d71871ff0fe61014964923263635c45...900e0246ef4b5973165ca910247f0750c5d64f4d,3.0,19.66,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,132.0
