timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215506,0ac534d095a74269874470dc31cc1edaead9f8f8,,1579378620,moved requests client to its own repo; made some improvements; added tests,,,74.2,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,0,,,
20260629_215506,f6beee7db4506a849f0b1202e9099a2289ae1110,0ac534d095a74269874470dc31cc1edaead9f8f8,1579383891,added docs,https://github.com/dskrypa/requests_client/compare/0ac534d095a74269874470dc31cc1edaead9f8f8...f6beee7db4506a849f0b1202e9099a2289ae1110,2.0,74.2,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,112.0
20260629_215506,3f59383ee48ec0b88f0a11dd104f46cfcc1ce5df,f6beee7db4506a849f0b1202e9099a2289ae1110,1579384104,fixed index link,https://github.com/dskrypa/requests_client/compare/f6beee7db4506a849f0b1202e9099a2289ae1110...3f59383ee48ec0b88f0a11dd104f46cfcc1ce5df,1.0,74.2,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,5.0
20260629_215506,319d35749d0f190c3e72fbc3829ada268138ef6e,3f59383ee48ec0b88f0a11dd104f46cfcc1ce5df,1579434189,fixed readme location,https://github.com/dskrypa/requests_client/compare/3f59383ee48ec0b88f0a11dd104f46cfcc1ce5df...319d35749d0f190c3e72fbc3829ada268138ef6e,1.0,74.2,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,4.0
20260629_215506,6dd2f30175f74cf8b90acfacb6238d67d39829f6,319d35749d0f190c3e72fbc3829ada268138ef6e,1579549818,fixed setup.py,https://github.com/dskrypa/requests_client/compare/319d35749d0f190c3e72fbc3829ada268138ef6e...6dd2f30175f74cf8b90acfacb6238d67d39829f6,4.0,67.74,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,124.0
20260629_215506,0e7522f526d245aac148a7988813eadb18a926f5,6dd2f30175f74cf8b90acfacb6238d67d39829f6,1579564222,fixed case where host is None,https://github.com/dskrypa/requests_client/compare/6dd2f30175f74cf8b90acfacb6238d67d39829f6...0e7522f526d245aac148a7988813eadb18a926f5,1.0,67.74,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,2.0
20260629_215506,3b9460f07cd8a202fb4459094c402567662fd6ef,0e7522f526d245aac148a7988813eadb18a926f5,1579564287,incremented version,https://github.com/dskrypa/requests_client/compare/0e7522f526d245aac148a7988813eadb18a926f5...3b9460f07cd8a202fb4459094c402567662fd6ef,1.0,67.74,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,2.0
20260629_215506,b80c32a1f6fe5ab1eac46525a00b1f0e07a076cb,3b9460f07cd8a202fb4459094c402567662fd6ef,1579564407,fixed additional issue with non-str host,https://github.com/dskrypa/requests_client/compare/3b9460f07cd8a202fb4459094c402567662fd6ef...b80c32a1f6fe5ab1eac46525a00b1f0e07a076cb,2.0,67.74,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,4.0
20260629_215506,965827248fab0f231298a6eb33bfdcd92a152edf,b80c32a1f6fe5ab1eac46525a00b1f0e07a076cb,1579987859,added nopath arg,https://github.com/dskrypa/requests_client/compare/b80c32a1f6fe5ab1eac46525a00b1f0e07a076cb...965827248fab0f231298a6eb33bfdcd92a152edf,2.0,67.74,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,7.0
20260629_215506,ab1deebeea724a9fec5899f751677b0e5c90bdf5,965827248fab0f231298a6eb33bfdcd92a152edf,1584786427,replaced copy/paste methods with partialmethod; added comment in descriptor,https://github.com/dskrypa/requests_client/compare/965827248fab0f231298a6eb33bfdcd92a152edf...ab1deebeea724a9fec5899f751677b0e5c90bdf5,3.0,68.63,0,,0,,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,1,Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:81=1,,33.0
