timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215114,764d54c781bdd27d56ff70c61d7cb24c2de0f17e,,1750294308,Improves telemetry handling and test setup,,,46.51,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,0,,,
20260629_215114,3d348c66747d620936e8f19e821b8d169a92a207,764d54c781bdd27d56ff70c61d7cb24c2de0f17e,1750298943,Update version,https://github.com/blaxel-ai/sdk-python.git/compare/764d54c781bdd27d56ff70c61d7cb24c2de0f17e...3d348c66747d620936e8f19e821b8d169a92a207,1.0,46.51,0,,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,77.0
20260629_215114,63a0b5b320de3bbe5d6d8ff01a3eb21b907ae710,3d348c66747d620936e8f19e821b8d169a92a207,1750300195,Remove span,https://github.com/blaxel-ai/sdk-python.git/compare/3d348c66747d620936e8f19e821b8d169a92a207...63a0b5b320de3bbe5d6d8ff01a3eb21b907ae710,1.0,46.51,0,,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,10.0
20260629_215114,d195cd8cb7695b21a61275e1a40eee88801b5a26,63a0b5b320de3bbe5d6d8ff01a3eb21b907ae710,1750314666,Update MCP version,https://github.com/blaxel-ai/sdk-python.git/compare/63a0b5b320de3bbe5d6d8ff01a3eb21b907ae710...d195cd8cb7695b21a61275e1a40eee88801b5a26,2.0,46.51,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503,0,,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,36.0
20260629_215114,67fbdefdde6fde8388bf29bbb756907b68e86ba3,d195cd8cb7695b21a61275e1a40eee88801b5a26,1750794171,Fix instrumentation and rename test to avoid packages conflict,https://github.com/blaxel-ai/sdk-python.git/compare/d195cd8cb7695b21a61275e1a40eee88801b5a26...67fbdefdde6fde8388bf29bbb756907b68e86ba3,17.0,46.51,0,,0,,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,,289.0
20260629_215114,660e0196b88b067644e76db444d07429fad86f3d,67fbdefdde6fde8388bf29bbb756907b68e86ba3,1750798160,Add possibility to create sandbox without parameters,https://github.com/blaxel-ai/sdk-python.git/compare/67fbdefdde6fde8388bf29bbb756907b68e86ba3...660e0196b88b067644e76db444d07429fad86f3d,12.0,46.51,0,,0,,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,,769.0
20260629_215114,037c74c4b7d44e42f013e2b3e9cd490c4b8e3772,660e0196b88b067644e76db444d07429fad86f3d,1751052462,Add creation with only name or image or memory,https://github.com/blaxel-ai/sdk-python.git/compare/660e0196b88b067644e76db444d07429fad86f3d...037c74c4b7d44e42f013e2b3e9cd490c4b8e3772,4.0,46.51,0,,0,,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,,216.0
20260629_215114,2c82f732c052b7b57ce7180645f0ffab3b98b543,037c74c4b7d44e42f013e2b3e9cd490c4b8e3772,1751466039,Remove last line that should not be there,https://github.com/blaxel-ai/sdk-python.git/compare/037c74c4b7d44e42f013e2b3e9cd490c4b8e3772...2c82f732c052b7b57ce7180645f0ffab3b98b543,1.0,46.51,0,,0,,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,,1.0
20260629_215114,1e589f4fda5a48f90894d087416251f712fe402f,2c82f732c052b7b57ce7180645f0ffab3b98b543,1751484021,Adds support for ports in sandbox creation,https://github.com/blaxel-ai/sdk-python.git/compare/2c82f732c052b7b57ce7180645f0ffab3b98b543...1e589f4fda5a48f90894d087416251f712fe402f,3.0,46.51,0,,0,,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,,131.0
20260629_215114,0556fcfd99ba693e7672a126b2a91d9fa08fcc9e,1e589f4fda5a48f90894d087416251f712fe402f,1751551163,Adds support for environment variables to sandboxes,https://github.com/blaxel-ai/sdk-python.git/compare/1e589f4fda5a48f90894d087416251f712fe402f...0556fcfd99ba693e7672a126b2a91d9fa08fcc9e,3.0,46.51,0,,0,,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1,,77.0
