timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220329,027a345328803e9f38ba542edf5711a3b7e2dc19,,1533818765,TESTS: Add tests for crypto module,,,32.96,0,,0,,0,,0,,,
20260629_220329,20e61fd913c8a89a63363e6020856dfa8cdfc5f2,027a345328803e9f38ba542edf5711a3b7e2dc19,1533818812,TESTS: Add tests for input validators,https://github.com/turris-cz/sentinel-cert-api/compare/027a345328803e9f38ba542edf5711a3b7e2dc19...20e61fd913c8a89a63363e6020856dfa8cdfc5f2,3.0,55.78999999999999,0,,0,,0,,0,,,304.0
20260629_220329,ae23923f5f9f23458a21089a0afb5049bc997e4e,20e61fd913c8a89a63363e6020856dfa8cdfc5f2,1533819565,"TESTS: Add client tests for ""get_cert"" request",https://github.com/turris-cz/sentinel-cert-api/compare/20e61fd913c8a89a63363e6020856dfa8cdfc5f2...ae23923f5f9f23458a21089a0afb5049bc997e4e,4.0,88.49000000000001,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,0,,,453.0
20260629_220329,2b1347ead028db1ba4174148b3733c57c18a3113,ae23923f5f9f23458a21089a0afb5049bc997e4e,1533819959,"TESTS: Add client tests for ""auth"" request",https://github.com/turris-cz/sentinel-cert-api/compare/ae23923f5f9f23458a21089a0afb5049bc997e4e...2b1347ead028db1ba4174148b3733c57c18a3113,2.0,94.58,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,,180.0
20260629_220329,ecd0637d82f941ddfca42b44e45db09fd4583b5a,2b1347ead028db1ba4174148b3733c57c18a3113,1533899404,setup: Add tests dependencies,https://github.com/turris-cz/sentinel-cert-api/compare/2b1347ead028db1ba4174148b3733c57c18a3113...ecd0637d82f941ddfca42b44e45db09fd4583b5a,1.0,94.58,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,,9.0
20260629_220329,350bdd034dd554ef2a468ce7665800c2626c31f8,ecd0637d82f941ddfca42b44e45db09fd4583b5a,1534157241,Add wsgi file for deployment,https://github.com/turris-cz/sentinel-cert-api/compare/ecd0637d82f941ddfca42b44e45db09fd4583b5a...350bdd034dd554ef2a468ce7665800c2626c31f8,1.0,94.31,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,,3.0
20260629_220329,922765ce144b962a254cabac15282c1a5736161c,350bdd034dd554ef2a468ce7665800c2626c31f8,1534942861,Messages - Distinguish fail and error states,https://github.com/turris-cz/sentinel-cert-api/compare/350bdd034dd554ef2a468ce7665800c2626c31f8...922765ce144b962a254cabac15282c1a5736161c,5.0,95.82,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,,286.0
20260629_220329,e2ddaea6ea409fbae73c6402aa427e8e2e87da4e,922765ce144b962a254cabac15282c1a5736161c,1536063733,Split 'process_req_get' function,https://github.com/turris-cz/sentinel-cert-api/compare/922765ce144b962a254cabac15282c1a5736161c...e2ddaea6ea409fbae73c6402aa427e8e2e87da4e,4.0,95.71,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,,82.0
20260629_220329,12beb71a1c2200ca6735d9ab9915f2198ae09f5b,e2ddaea6ea409fbae73c6402aa427e8e2e87da4e,1536065860,Move some replies to functions and constants,https://github.com/turris-cz/sentinel-cert-api/compare/e2ddaea6ea409fbae73c6402aa427e8e2e87da4e...12beb71a1c2200ca6735d9ab9915f2198ae09f5b,1.0,95.73,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,,47.0
20260629_220329,3839367fca219634f0e47224ca02fb6a948ec376,12beb71a1c2200ca6735d9ab9915f2198ae09f5b,1536139118,Refactor exceptions,https://github.com/turris-cz/sentinel-cert-api/compare/12beb71a1c2200ca6735d9ab9915f2198ae09f5b...3839367fca219634f0e47224ca02fb6a948ec376,6.0,95.69,0,,0,,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:254=1,,134.0
