timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215200,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,,1713950959,add initial files,,,11.81,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,0,,,
20260629_215200,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713951861,small improvements,https://github.com/geoalgo/slurmpilot.git/compare/af2ccf3b73f64a8403e6c8bec4a7231aa914fda5...8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,2.0,11.53,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,14.0
20260629_215200,1bc0729fbc76d6ff383d3723f6102d5d3f061458,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713969620,support specifying user and environment variables,https://github.com/geoalgo/slurmpilot.git/compare/8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e...1bc0729fbc76d6ff383d3723f6102d5d3f061458,4.0,11.19,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,49.0
20260629_215200,dc95f7f64343854c6d3acfb43aa9f9262331e652,1bc0729fbc76d6ff383d3723f6102d5d3f061458,1713973768,"add support to specify runtime, use long argument for sbatch",https://github.com/geoalgo/slurmpilot.git/compare/1bc0729fbc76d6ff383d3723f6102d5d3f061458...dc95f7f64343854c6d3acfb43aa9f9262331e652,2.0,11.01,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,47.0
20260629_215200,6f37b7619ba054e24a1514964a79fb6eb8dc8a6d,dc95f7f64343854c6d3acfb43aa9f9262331e652,1717409794,improve configuration support,https://github.com/geoalgo/slurmpilot.git/compare/dc95f7f64343854c6d3acfb43aa9f9262331e652...6f37b7619ba054e24a1514964a79fb6eb8dc8a6d,10.0,10.9,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,437.0
20260629_215200,3f74511f3ed9888cc73cf3242c34e25341a5f6b6,6f37b7619ba054e24a1514964a79fb6eb8dc8a6d,1717423860,"some doc, show cli option when waiting",https://github.com/geoalgo/slurmpilot.git/compare/6f37b7619ba054e24a1514964a79fb6eb8dc8a6d...3f74511f3ed9888cc73cf3242c34e25341a5f6b6,3.0,10.77,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,87.0
20260629_215200,c6529c2cc8d7b22c7cb9c53eb8279517d1321117,3f74511f3ed9888cc73cf3242c34e25341a5f6b6,1717496595,"allow to fetch from local file, breaking change in metadata",https://github.com/geoalgo/slurmpilot.git/compare/3f74511f3ed9888cc73cf3242c34e25341a5f6b6...c6529c2cc8d7b22c7cb9c53eb8279517d1321117,2.0,10.27,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,83.0
20260629_215200,7f28cd4e9da85769ad1d28d5294af3505de99b8e,c6529c2cc8d7b22c7cb9c53eb8279517d1321117,1717496632,fix ut,https://github.com/geoalgo/slurmpilot.git/compare/c6529c2cc8d7b22c7cb9c53eb8279517d1321117...7f28cd4e9da85769ad1d28d5294af3505de99b8e,1.0,10.27,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,2.0
20260629_215200,4710ad77486cea9a95e32be24baa595fe065abdd,7f28cd4e9da85769ad1d28d5294af3505de99b8e,1717575941,fix path and user variable missing,https://github.com/geoalgo/slurmpilot.git/compare/7f28cd4e9da85769ad1d28d5294af3505de99b8e...4710ad77486cea9a95e32be24baa595fe065abdd,3.0,10.25,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,38.0
20260629_215200,b1635d1bfe05ed27943b29fdc2865ccf5e6c1ebf,4710ad77486cea9a95e32be24baa595fe065abdd,1720603740,"add stop command, allow to ignore ssh irrelevant errors",https://github.com/geoalgo/slurmpilot.git/compare/4710ad77486cea9a95e32be24baa595fe065abdd...b1635d1bfe05ed27943b29fdc2865ccf5e6c1ebf,6.0,9.819,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,123.0
20260629_215200,0f5b68e661c5b137ca986e1231f61d45c60adc6f,b1635d1bfe05ed27943b29fdc2865ccf5e6c1ebf,1720616689,"add support for external libraries, WIP",https://github.com/geoalgo/slurmpilot.git/compare/b1635d1bfe05ed27943b29fdc2865ccf5e6c1ebf...0f5b68e661c5b137ca986e1231f61d45c60adc6f,6.0,9.731,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,57.0
20260629_215200,0c12921d7455e1ba7551c07c50ed3c2f5f3cf197,0f5b68e661c5b137ca986e1231f61d45c60adc6f,1720618482,support using custom python libraries,https://github.com/geoalgo/slurmpilot.git/compare/0f5b68e661c5b137ca986e1231f61d45c60adc6f...0c12921d7455e1ba7551c07c50ed3c2f5f3cf197,3.0,9.701,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,15.0
20260629_215200,52409a759dbc24a928b362b0a8f6cb23694d0d68,0c12921d7455e1ba7551c07c50ed3c2f5f3cf197,1720697285,"update list of things, small print update",https://github.com/geoalgo/slurmpilot.git/compare/0c12921d7455e1ba7551c07c50ed3c2f5f3cf197...52409a759dbc24a928b362b0a8f6cb23694d0d68,2.0,9.701,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,9.0
20260629_215200,861fd02a34c67e48d5367c553702c5f13a40c344,52409a759dbc24a928b362b0a8f6cb23694d0d68,1720699013,cli to only generate relevant cluster ssh connection,https://github.com/geoalgo/slurmpilot.git/compare/52409a759dbc24a928b362b0a8f6cb23694d0d68...861fd02a34c67e48d5367c553702c5f13a40c344,3.0,9.601,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,57.0
20260629_215200,c4caa0e9a346fb0312f453505e7b64328f406447,861fd02a34c67e48d5367c553702c5f13a40c344,1720713702,"fix cli stop bug, add skeleton for local mode",https://github.com/geoalgo/slurmpilot.git/compare/861fd02a34c67e48d5367c553702c5f13a40c344...c4caa0e9a346fb0312f453505e7b64328f406447,4.0,9.407,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,62.0
20260629_215200,a68b09d149cb85ce7bb8755c5e62a1f4e36521f6,c4caa0e9a346fb0312f453505e7b64328f406447,1721650233,"add support for default cluster, better for examples",https://github.com/geoalgo/slurmpilot.git/compare/c4caa0e9a346fb0312f453505e7b64328f406447...a68b09d149cb85ce7bb8755c5e62a1f4e36521f6,5.0,4.627,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,119.0
20260629_215200,f6f0eacf14a783e3884417f8d39c69842a8bdd2c,a68b09d149cb85ce7bb8755c5e62a1f4e36521f6,1721732715,add missing dep,https://github.com/geoalgo/slurmpilot.git/compare/a68b09d149cb85ce7bb8755c5e62a1f4e36521f6...f6f0eacf14a783e3884417f8d39c69842a8bdd2c,1.0,4.627,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,2.0
20260629_215200,4309befcc90d983e00bb70e09c08a7a802972001,f6f0eacf14a783e3884417f8d39c69842a8bdd2c,1721732757,fix example,https://github.com/geoalgo/slurmpilot.git/compare/f6f0eacf14a783e3884417f8d39c69842a8bdd2c...4309befcc90d983e00bb70e09c08a7a802972001,2.0,4.627,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,13.0
20260629_215200,75ed636775ae11733f419f5ee1d6c7dad41a71fc,4309befcc90d983e00bb70e09c08a7a802972001,1721754505,Update examples/hellocluster/launch_hellocluster.py,https://github.com/geoalgo/slurmpilot.git/compare/4309befcc90d983e00bb70e09c08a7a802972001...75ed636775ae11733f419f5ee1d6c7dad41a71fc,1.0,4.627,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,5.0
20260629_215200,392fecc3c26694d12a0975ad1b0530d9772654c5,75ed636775ae11733f419f5ee1d6c7dad41a71fc,1721807926,remove load_config in examples as it is not needed and avoid two imports,https://github.com/geoalgo/slurmpilot.git/compare/75ed636775ae11733f419f5ee1d6c7dad41a71fc...392fecc3c26694d12a0975ad1b0530d9772654c5,2.0,4.627,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,9.0
20260629_215200,155dd9777e3c4d86bd341645660a65ba9c675c57,392fecc3c26694d12a0975ad1b0530d9772654c5,1721807974,fix other example,https://github.com/geoalgo/slurmpilot.git/compare/392fecc3c26694d12a0975ad1b0530d9772654c5...155dd9777e3c4d86bd341645660a65ba9c675c57,1.0,4.627,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,5.0
20260629_215200,9437afec5188a3b18f231e16ab8a54645370e4b0,155dd9777e3c4d86bd341645660a65ba9c675c57,1722353844,prettier logging,https://github.com/geoalgo/slurmpilot.git/compare/155dd9777e3c4d86bd341645660a65ba9c675c57...9437afec5188a3b18f231e16ab8a54645370e4b0,1.0,4.627,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,39.0
20260629_215200,a254eef7c1084a07896dd0e1ee41bf510781fdb9,9437afec5188a3b18f231e16ab8a54645370e4b0,1722954969,add cluster installation option,https://github.com/geoalgo/slurmpilot.git/compare/9437afec5188a3b18f231e16ab8a54645370e4b0...a254eef7c1084a07896dd0e1ee41bf510781fdb9,2.0,4.473,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,41.0
20260629_215200,01f3f9db2d35c5568cb3ecafe2c562788cd2809f,a254eef7c1084a07896dd0e1ee41bf510781fdb9,1723730491,add nodelist,https://github.com/geoalgo/slurmpilot.git/compare/a254eef7c1084a07896dd0e1ee41bf510781fdb9...01f3f9db2d35c5568cb3ecafe2c562788cd2809f,1.0,4.454000000000001,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,3.0
20260629_215200,d052de7fe831286496feace8d803c85c5c268be3,01f3f9db2d35c5568cb3ecafe2c562788cd2809f,1726587631,"small modifs, add discussion for python support",https://github.com/geoalgo/slurmpilot.git/compare/01f3f9db2d35c5568cb3ecafe2c562788cd2809f...d052de7fe831286496feace8d803c85c5c268be3,2.0,4.492999999999999,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/invoke/vendor/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,17.0
