timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215822,2f9e63d08fe771cec6fd3dcb77c35f1797b6a221,,1754820858,initial commit,,,64.67,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,0,,,
20260629_215822,075b3b72c016b210af43dc836acdc1c5a389b58a,2f9e63d08fe771cec6fd3dcb77c35f1797b6a221,1754824034,feat(metadata): implement automatic removal of __ prefixed fields,https://github.com/apuigsech/smartyaml/compare/2f9e63d08fe771cec6fd3dcb77c35f1797b6a221...075b3b72c016b210af43dc836acdc1c5a389b58a,3.0,65.61,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,418.0
20260629_215822,87b3403afafc4b3274ef716c0cb99576c50d8e2c,075b3b72c016b210af43dc836acdc1c5a389b58a,1754827336,feat(expand): add variable substitution with !expand directive,https://github.com/apuigsech/smartyaml/compare/075b3b72c016b210af43dc836acdc1c5a389b58a...87b3403afafc4b3274ef716c0cb99576c50d8e2c,7.0,67.36999999999999,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,900.0
20260629_215822,2573eba7bfe31a94b2bf0bd5f62a37a38f1c3127,87b3403afafc4b3274ef716c0cb99576c50d8e2c,1754834599,refactor: reorganize imports and code formaring,https://github.com/apuigsech/smartyaml/compare/87b3403afafc4b3274ef716c0cb99576c50d8e2c...2573eba7bfe31a94b2bf0bd5f62a37a38f1c3127,32.0,66.8,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,3126.0
20260629_215822,f43c1c2666578df0392b48307ead479c4569e2f1,2573eba7bfe31a94b2bf0bd5f62a37a38f1c3127,1754839405,feat(anchor): support combining YAML anchor with custom directives,https://github.com/apuigsech/smartyaml/compare/2573eba7bfe31a94b2bf0bd5f62a37a38f1c3127...f43c1c2666578df0392b48307ead479c4569e2f1,1.0,65.0,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,113.0
20260629_215822,32e1c0a82acf8536d9f9f0cc6cde4d9b5cf4b29e,f43c1c2666578df0392b48307ead479c4569e2f1,1754990731,fix: preserve null values,https://github.com/apuigsech/smartyaml/compare/f43c1c2666578df0392b48307ead479c4569e2f1...32e1c0a82acf8536d9f9f0cc6cde4d9b5cf4b29e,10.0,68.47,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,287.0
20260629_215822,e2bc1271607f5d2a23d14fbe879d2f8acc997139,32e1c0a82acf8536d9f9f0cc6cde4d9b5cf4b29e,1755016925,refactor: architecture overhaul,https://github.com/apuigsech/smartyaml/compare/32e1c0a82acf8536d9f9f0cc6cde4d9b5cf4b29e...e2bc1271607f5d2a23d14fbe879d2f8acc997139,18.0,72.5,1,Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,,1765.0
20260629_215822,fc887222a305d0352416e6eec9c1c2268e57171b,e2bc1271607f5d2a23d14fbe879d2f8acc997139,1755034531,feat(templates): add __template with variable inheritance support with a required refactoring,https://github.com/apuigsech/smartyaml/compare/e2bc1271607f5d2a23d14fbe879d2f8acc997139...fc887222a305d0352416e6eec9c1c2268e57171b,16.0,72.55,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195=1,,2173.0
20260629_215822,d83404516a9689c25d306e8a1a90eee2ad346055,fc887222a305d0352416e6eec9c1c2268e57171b,1755101905,feat(extend) implepement the extend directive for template arrays,https://github.com/apuigsech/smartyaml/compare/fc887222a305d0352416e6eec9c1c2268e57171b...d83404516a9689c25d306e8a1a90eee2ad346055,29.0,72.54,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195=1,Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195<=Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195,1873.0
20260629_215822,e02ae6a51efba0379533910f13c7559a07269ca8,d83404516a9689c25d306e8a1a90eee2ad346055,1755291008,"chore: fix flake8, black and isort code quality issues",https://github.com/apuigsech/smartyaml/compare/d83404516a9689c25d306e8a1a90eee2ad346055...e02ae6a51efba0379533910f13c7559a07269ca8,28.0,72.32,0,,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195=1,Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195<=Pydocs_NoReadAfterAccess:/smartyaml/utils/file_utils.py:195,280.0
