timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_220225,91e915f8e570f2f8376bc9ddbd75c6b219798f16,,1508673766,add automated test suite,,,18.15,0,,0,,0,,0,,,
20260629_220225,e1a81d2772c7b7c5498b02a826db218b81113755,91e915f8e570f2f8376bc9ddbd75c6b219798f16,1558200991,set travis version to python 3.6. reverted requirements.txt.,https://github.com/gautamkrishnar/socli/compare/91e915f8e570f2f8376bc9ddbd75c6b219798f16...e1a81d2772c7b7c5498b02a826db218b81113755,13.0,27.72,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166;RandomMustUseSeed:/socli/search.py:471;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605;RandomMustUseSeed:/socli/search.py:461;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910,0,,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:471=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;RandomMustUseSeed:/socli/search.py:461=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1,0,,,2800.0
20260629_220225,dd49d01768ef8a8f04cdeb976599846b6e04f39c,e1a81d2772c7b7c5498b02a826db218b81113755,1564162747,Remove buggy br condition,https://github.com/gautamkrishnar/socli/compare/e1a81d2772c7b7c5498b02a826db218b81113755...dd49d01768ef8a8f04cdeb976599846b6e04f39c,1.0,28.15,2,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2900;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908,0,,11,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:447=1;RandomMustUseSeed:/socli/search.py:437=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2900=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908=1,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:471=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;RandomMustUseSeed:/socli/search.py:461=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1,RandomMustUseSeed:/socli/search.py:447<=RandomMustUseSeed:/socli/search.py:471;RandomMustUseSeed:/socli/search.py:437<=RandomMustUseSeed:/socli/search.py:461,62.0
20260629_220225,24e826f89d167f349fda29318caf1530794122e1,dd49d01768ef8a8f04cdeb976599846b6e04f39c,1564215122,"fixing tests and imports, minor refactoring",https://github.com/gautamkrishnar/socli/compare/dd49d01768ef8a8f04cdeb976599846b6e04f39c...24e826f89d167f349fda29318caf1530794122e1,3.0,28.28,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824,1,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2900,11,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908=1,11,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:447=1;RandomMustUseSeed:/socli/search.py:437=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2900=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908=1,RandomMustUseSeed:/socli/search.py:436<=RandomMustUseSeed:/socli/search.py:437;RandomMustUseSeed:/socli/search.py:446<=RandomMustUseSeed:/socli/search.py:447,141.0
20260629_220225,9e271ab390170af47cdc0a9ab58f4617d1039148,24e826f89d167f349fda29318caf1530794122e1,1564826145,Changed the google_search_url variable,https://github.com/gautamkrishnar/socli/compare/24e826f89d167f349fda29318caf1530794122e1...9e271ab390170af47cdc0a9ab58f4617d1039148,2.0,28.28,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,11,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908=1,RandomMustUseSeed:/socli/search.py:436<=RandomMustUseSeed:/socli/search.py:436;RandomMustUseSeed:/socli/search.py:446<=RandomMustUseSeed:/socli/search.py:446,3.0
20260629_220225,b785e5653cdf9d24ddc673d5eccefe2264c1c6d9,9e271ab390170af47cdc0a9ab58f4617d1039148,1564834957,* removing support for 3.7 ref:#152 * updated travis,https://github.com/gautamkrishnar/socli/compare/9e271ab390170af47cdc0a9ab58f4617d1039148...b785e5653cdf9d24ddc673d5eccefe2264c1c6d9,1.0,27.65,0,,0,,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,,4.0
20260629_220225,141ead78b6b409981940dc15b39a1d4f4ec74636,b785e5653cdf9d24ddc673d5eccefe2264c1c6d9,1573284830,Improve debug mode --debug (#169),https://github.com/gautamkrishnar/socli/compare/b785e5653cdf9d24ddc673d5eccefe2264c1c6d9...141ead78b6b409981940dc15b39a1d4f4ec74636,1.0,28.09,0,,0,,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,,18.0
20260629_220225,c292676c53d5c86d2aebe4533cd2b9f54a0142d2,141ead78b6b409981940dc15b39a1d4f4ec74636,1579091438,Update Useragent and question title,https://github.com/gautamkrishnar/socli/compare/141ead78b6b409981940dc15b39a1d4f4ec74636...c292676c53d5c86d2aebe4533cd2b9f54a0142d2,1.0,28.09,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824,0,,10,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,RandomMustUseSeed:/socli/search.py:436<=RandomMustUseSeed:/socli/search.py:436;RandomMustUseSeed:/socli/search.py:446<=RandomMustUseSeed:/socli/search.py:446,4.0
20260629_220225,6bbde04064769b5da9bacd503e2cf892609cebc8,c292676c53d5c86d2aebe4533cd2b9f54a0142d2,1579138293,Fix bug when creating urwid,https://github.com/gautamkrishnar/socli/compare/c292676c53d5c86d2aebe4533cd2b9f54a0142d2...6bbde04064769b5da9bacd503e2cf892609cebc8,1.0,28.09,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,10,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,,2.0
20260629_220225,3433ec6b290e4595140891d97fedd36359a3020f,6bbde04064769b5da9bacd503e2cf892609cebc8,1591536459,Remove support for python 2,https://github.com/gautamkrishnar/socli/compare/6bbde04064769b5da9bacd503e2cf892609cebc8...3433ec6b290e4595140891d97fedd36359a3020f,1.0,28.17,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2900;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908,0,,12,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:824=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2900=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/bs4/__init__.py:908=1,9,StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2897=1;Pydocs_HTTPConnectionSendSequence:/lib/python3.12/site-packages/urllib3/connection.py:571=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:166=1;RandomMustUseSeed:/socli/search.py:436=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/dammit.py:365=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:1605=1;Requests_PreparedRequestInit:/lib/python3.12/site-packages/requests/sessions.py:269=1;StringConcatAnalysis:/lib/python3.12/site-packages/bs4/element.py:2910=1;RandomMustUseSeed:/socli/search.py:446=1,,9.0
