timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215844,ec258c52abd83ee2820874fd81f78cecf6267cbc,,1762580577,Integrate docling with mcp hub (#299),,,36.65,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,0,,,
20260629_215844,8dfe86d729af5dd8274aae65d7dda8d17209e05c,ec258c52abd83ee2820874fd81f78cecf6267cbc,1762595210,Refactor: Improve links field parsing and formatting,https://github.com/ArtyomZemlyak/tg-note/compare/ec258c52abd83ee2820874fd81f78cecf6267cbc...8dfe86d729af5dd8274aae65d7dda8d17209e05c,2.0,37.12,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,543.0
20260629_215844,4273001af7fbce06352ebc72b3e1e8c97deb9677,8dfe86d729af5dd8274aae65d7dda8d17209e05c,1762597805,Refactor: Update Docling configuration and Docker setup,https://github.com/ArtyomZemlyak/tg-note/compare/8dfe86d729af5dd8274aae65d7dda8d17209e05c...4273001af7fbce06352ebc72b3e1e8c97deb9677,12.0,37.39,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,1122.0
20260629_215844,316b72c4faf0843614b7e0aab691da4033995264,4273001af7fbce06352ebc72b3e1e8c97deb9677,1762598467,Refactor Docling sync to auto-update on settings change,https://github.com/ArtyomZemlyak/tg-note/compare/4273001af7fbce06352ebc72b3e1e8c97deb9677...316b72c4faf0843614b7e0aab691da4033995264,1.0,37.4,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,159.0
20260629_215844,3c44e4c440435e3a89eb3048d1d449b949ef19b1,316b72c4faf0843614b7e0aab691da4033995264,1762599373,feat: Add Docling MCP container with OCR and VLM support,https://github.com/ArtyomZemlyak/tg-note/compare/316b72c4faf0843614b7e0aab691da4033995264...3c44e4c440435e3a89eb3048d1d449b949ef19b1,5.0,37.41,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,219.0
20260629_215844,8f1f505c9c7c0eed4d4e666fee8235e40b1c5a1c,3c44e4c440435e3a89eb3048d1d449b949ef19b1,1762684606,Refactor: Use official MCP SDK ClientSession,https://github.com/ArtyomZemlyak/tg-note/compare/3c44e4c440435e3a89eb3048d1d449b949ef19b1...8f1f505c9c7c0eed4d4e666fee8235e40b1c5a1c,1.0,38.15,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,945.0
20260629_215844,a1aaf3c0e29fb05487a96fcb46ea3f9b1d6985de,8f1f505c9c7c0eed4d4e666fee8235e40b1c5a1c,1762685153,Refactor: Use fastmcp client for MCP communication,https://github.com/ArtyomZemlyak/tg-note/compare/8f1f505c9c7c0eed4d4e666fee8235e40b1c5a1c...a1aaf3c0e29fb05487a96fcb46ea3f9b1d6985de,1.0,38.17,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,278.0
20260629_215844,6ade2dab5735379907a34d190feae965ddc52459,a1aaf3c0e29fb05487a96fcb46ea3f9b1d6985de,1762686863,Refactor MCPClient to use fastmcp StdioTransport and improve error handling,https://github.com/ArtyomZemlyak/tg-note/compare/a1aaf3c0e29fb05487a96fcb46ea3f9b1d6985de...6ade2dab5735379907a34d190feae965ddc52459,2.0,38.64,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,432.0
20260629_215844,c45fec2e41db2f570a02397137a113160df47073,6ade2dab5735379907a34d190feae965ddc52459,1762687225,Refactor: Simplify MCP client transport configuration,https://github.com/ArtyomZemlyak/tg-note/compare/6ade2dab5735379907a34d190feae965ddc52459...c45fec2e41db2f570a02397137a113160df47073,4.0,38.66,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,165.0
20260629_215844,2d8088a826fe538960fb871e58b60da249579b18,c45fec2e41db2f570a02397137a113160df47073,1762687854,feat: Add comprehensive tests for MCP client,https://github.com/ArtyomZemlyak/tg-note/compare/c45fec2e41db2f570a02397137a113160df47073...2d8088a826fe538960fb871e58b60da249579b18,1.0,38.95,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,403.0
20260629_215844,ce5639d0b97cb178bf5d44af95b31362a98618eb,2d8088a826fe538960fb871e58b60da249579b18,1762690512,Refactor model download configuration and logic,https://github.com/ArtyomZemlyak/tg-note/compare/2d8088a826fe538960fb871e58b60da249579b18...ce5639d0b97cb178bf5d44af95b31362a98618eb,6.0,38.98,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,501.0
