timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215543,61282e010663eb96d8e536e5d7c543cd6785d343,,1749054344,Ensure isolated db in tests,,,43.15,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427;Flask_NoModifyAfterServe:/db.py:39;Flask_NoModifyAfterServe:/db.py:38;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,0,,,
20260629_215543,006e1f22c260cb88aa65dc55ca5104e948d0041f,61282e010663eb96d8e536e5d7c543cd6785d343,1749055400,Use absolute paths when enabling systemd user services,https://github.com/smokehubde/tsb/compare/61282e010663eb96d8e536e5d7c543cd6785d343...006e1f22c260cb88aa65dc55ca5104e948d0041f,1.0,43.15,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,9.0
20260629_215543,5a01b94cd8459296386d6f7d8c21073f90359fd2,006e1f22c260cb88aa65dc55ca5104e948d0041f,1749055783,Check systemd availability,https://github.com/smokehubde/tsb/compare/006e1f22c260cb88aa65dc55ca5104e948d0041f...5a01b94cd8459296386d6f7d8c21073f90359fd2,1.0,41.959999999999994,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,12.0
20260629_215543,9e9cef4f1cd133e46300df0c9172f096a218291f,5a01b94cd8459296386d6f7d8c21073f90359fd2,1749055940,Move DB initialization into main,https://github.com/smokehubde/tsb/compare/5a01b94cd8459296386d6f7d8c21073f90359fd2...9e9cef4f1cd133e46300df0c9172f096a218291f,1.0,41.959999999999994,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,3.0
20260629_215543,0145ca73c6ac5f964563cdb34c3e44ece44d6404,9e9cef4f1cd133e46300df0c9172f096a218291f,1749062463,Move HTML templates to files and enable autoescape,https://github.com/smokehubde/tsb/compare/9e9cef4f1cd133e46300df0c9172f096a218291f...0145ca73c6ac5f964563cdb34c3e44ece44d6404,1.0,41.959999999999994,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,41.0
20260629_215543,4ed4f360366548900314ce6c1b5b32435f74bd44,0145ca73c6ac5f964563cdb34c3e44ece44d6404,1749062522,Add Tor hidden service support,https://github.com/smokehubde/tsb/compare/0145ca73c6ac5f964563cdb34c3e44ece44d6404...4ed4f360366548900314ce6c1b5b32435f74bd44,2.0,37.15,0,,0,,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,93.0
20260629_215543,8d25d372f5bae092428d148980b997354e7ecfe1,4ed4f360366548900314ce6c1b5b32435f74bd44,1749062554,Add Tor settings route,https://github.com/smokehubde/tsb/compare/4ed4f360366548900314ce6c1b5b32435f74bd44...8d25d372f5bae092428d148980b997354e7ecfe1,3.0,53.06999999999999,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911,0,,5,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,4,ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,148.0
20260629_215543,c783144aa4badf42fad478d686432d0e590c9886,8d25d372f5bae092428d148980b997354e7ecfe1,1749063225,Add Tor control route and update docs,https://github.com/smokehubde/tsb/compare/8d25d372f5bae092428d148980b997354e7ecfe1...c783144aa4badf42fad478d686432d0e590c9886,3.0,49.73,0,,0,,5,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,5,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,147.0
20260629_215543,bf0c59ae6c887f66bda2b96184e31240d369e9b4,c783144aa4badf42fad478d686432d0e590c9886,1749068537,Handle missing SECRET_KEY,https://github.com/smokehubde/tsb/compare/c783144aa4badf42fad478d686432d0e590c9886...bf0c59ae6c887f66bda2b96184e31240d369e9b4,1.0,47.68,0,,0,,5,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:68=1;Flask_NoModifyAfterServe:/db.py:67=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,5,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Flask_NoModifyAfterServe:/db.py:39=1;Flask_NoModifyAfterServe:/db.py:38=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,Flask_NoModifyAfterServe:/db.py:68<=Flask_NoModifyAfterServe:/db.py:39;Flask_NoModifyAfterServe:/db.py:67<=Flask_NoModifyAfterServe:/db.py:38,33.0
20260629_215543,26fa7b63019b7ea1b4f47b1f847dd71945976150,bf0c59ae6c887f66bda2b96184e31240d369e9b4,1749068885,Add package marker for tests,https://github.com/smokehubde/tsb/compare/bf0c59ae6c887f66bda2b96184e31240d369e9b4...26fa7b63019b7ea1b4f47b1f847dd71945976150,1.0,47.68,0,,0,,5,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:68=1;Flask_NoModifyAfterServe:/db.py:67=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,5,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;Flask_NoModifyAfterServe:/db.py:68=1;Flask_NoModifyAfterServe:/db.py:67=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1,,1.0
